machine_age_years,operating_temp_c,vibration_hz,pressure_bar,rpm,days_since_maintenance,error_count_30days,machine_failed
18.0,95.2,20.9,12.24,1646.0,255.0,15.0,1
9.0,142.5,46.55,2.61,2071.0,252.0,17.0,1
13.0,82.8,99.59,2.23,2914.0,173.0,12.0,1
19.0,74.3,66.43,7.54,1927.0,315.0,1.0,1
11.0,94.2,35.26,13.74,1094.0,206.0,18.0,1
-4.0,113.9,26.17,5.44,2443.0,168.0,8.0,0
1.0,148.7,70.63,8.03,2901.0,135.0,0.0,0
2.0,123.7,55.53,2.86,1338.0,113.0,1.0,0
13.0,117.5,59.98,5.68,1305.0,332.0,4.0,1
3.0,104.5,24.7,5.41,1051.0,58.0,13.0,0
9.0,800.0,40.25,6.65,2977.0,71.0,11.0,0
9.0,66.4,13.39,7.88,2717.0,324.0,10.0,0
19.0,140.7,38.79,6.81,2473.0,174.0,8.0,0
11.0,71.4,31.0,1.69,1050.0,160.0,15.0,0
14.0,,44.76,11.49,690.0,296.0,4.0,1
5.0,67.7,12.45,9.02,-100.0,252.0,6.0,0
16.0,91.5,99.49,6.25,2830.0,315.0,14.0,1
14.0,116.9,86.17,4.73,1901.0,114.0,7.0,1
10.0,132.6,77.14,12.74,2514.0,26.0,4.0,1
9.0,122.3,86.25,7.83,2219.0,111.0,18.0,1
14.0,131.9,22.95,500.0,1018.0,237.0,18.0,0
11.0,145.6,60.35,11.84,776.0,300.0,10.0,1
3.0,,30.0,6.0,858.0,80.0,14.0,0
14.0,144.0,41.33,10.98,1631.0,329.0,0.0,1
6.0,86.6,83.49,6.19,1810.0,11.0,13.0,0
15.0,142.5,67.59,10.63,1697.0,0.0,14.0,1
6.0,73.2,78.92,11.66,2637.0,215.0,18.0,1
3.0,64.1,31.21,11.22,1977.0,162.0,16.0,0
5.0,67.0,79.97,5.94,2016.0,262.0,10.0,0
18.0,63.0,34.01,12.31,2220.0,228.0,14.0,1
17.0,108.6,97.93,2.09,1171.0,16.0,17.0,1
18.0,105.0,57.6,6.28,2543.0,355.0,8.0,1
15.0,63.4,21.92_err,14.47,2567.0,109.0,8.0,0
5.0,132.1,95.64_err,7.69,2008.0,32.0,2.0,0
13.0,72.6,90.58_err,6.77,1651.0,80.0,2.0,0
8.0,62.0,54.86_err,1.94,778.0,230.0,18.0,0
17.0,122.9,33.1_err,9.1,1172.0,310.0,5.0,1
1.0,80.5,10.26,9.42,1771.0,131.0,2.0,0
2.0,146.5,66.32,7.83,590.0,239.0,5.0,0
11.0,72.6,65.98,14.57,561.0,330.0,18.0,0
12.0,133.7,25.05,14.73,2005.0,337.0,8.0,1
5.0,82.9,73.34,1.04,2067.0,64.0,6.0,0
10.0,116.7,61.55,10.55,2748.0,348.0,7.0,1
6.0,122.0,87.56,5.16,1201.0,139.0,18.0,0
15.0,116.0,,4.85,510.0,2.0,4.0,0
16.0,85.9,67.46,9.97,1408.0,221.0,9.0,0
17.0,102.2,,8.98,2410.0,192.0,9.0,1
14.0,141.0,96.27,12.87,920.0,63.0,14.0,1
2.0,135.0,36.33,9.07,638.0,78.0,7.0,0
7.0,100.3,31.23,11.66,887.0,86.0,7.0,0
10.0,74.2,76.68,4.39,1034.0,124.0,8.0,0
4.0,102.6,24.91,3.42,2639.0,106.0,19.0,0
6.0,62.5,18.4,13.27,2182.0,147.0,18.0,0
10.0,78.4,14.84,9.72,1794.0,286.0,9.0,0
2.0,63.1,38.79,10.14,2834.0,158.0,0.0,0
7.0,,63.22,7.77,1476.0,225.0,9.0,0
16.0,62.1,87.26,11.78,1121.0,319.0,5.0,0
3.0,103.4,16.11,2.64,1938.0,311.0,0.0,0
4.0,129.4,20.2,12.43,1649.0,298.0,11.0,1
15.0,63.2,31.01,8.7,2581.0,4.0,17.0,1
17.0,135.8,36.08,9.01,2281.0,111.0,0.0,0
1.0,113.0,10.88,2.66,2316.0,126.0,5.0,0
11.0,74.4,12.9,11.01,2199.0,318.0,6.0,0
13.0,63.6,94.24,8.59,545.0,115.0,11.0,1
13.0,106.5,,10.16,1450.0,297.0,19.0,0
4.0,124.7,20.58,5.75,1075.0,326.0,0.0,0
16.0,71.0,74.82,4.92,764.0,196.0,6.0,0
3.0,100.8,98.9,5.81,2353.0,41.0,8.0,0
4.0,140.5,69.59,12.28,1591.0,235.0,18.0,1
4.0,123.7,,10.7,1709.0,300.0,11.0,0
10.0,147.3,77.87,5.84,2130.0,251.0,13.0,1
17.0,116.2,17.13,14.36,2301.0,184.0,18.0,1
