pm25,pm10,no2_ppb,co_ppm,so2_ppb,o3_ppb,wind_speed_kmh,humidity_pct,temperature_c,aqi
10.78,21.52,8.59,0.53,3.18,39.65,21.55,56.0,31.36,48.98
12.23,27.17,12.33,0.51,1.27,31.92,19.28,37.48,15.81,49.84
9.92,23.79,19.36,0.49,4.1,40.38,21.98,40.55,28.45,37.65
11.36,,14.3,0.42,3.5,39.31,17.75,56.36,,50.94
14.88,30.55,11.55,0.22,3.88,35.26,,54.08,22.81,42.52
9.11,30.31,17.8,0.35,4.3,25.34,11.46,40.88,25.91,38.37
13.27,32.29,8.91,0.31,3.44,35.1,12.39,39.12,25.32,51.52
12.04,32.27,14.19,0.43,4.82,30.82,6.65,39.53,18.59,51.62
5.85,26.51,16.45,0.41,2.89,35.94,27.73,49.98,22.75,48.07
14.37,27.02,16.8,0.45,2.79,27.38,16.17,54.64,23.04,35.79
10.86,26.08,21.8,0.48,1.73,42.82,18.73,55.28,22.02,48.67
10.09,20.26,13.6,0.53,2.78,31.78,17.63,47.62,24.25,50.64
7.78,21.95,14.9,0.39,1.99,35.24,17.93,39.58,18.85,56.12
15.93,21.94,21.21,0.36,2.64,35.67,15.92,39.29,28.3,43.96
11.48,27.58,10.88,0.41,2.77,27.93,12.43,50.29,17.54,23.5
10.51,28.95,19.83,0.25,4.09,38.77,22.73,32.08,25.73,44.81
13.26,28.95,,0.63,3.35,44.0,20.16,39.02,17.58,41.28
10.04,29.36,22.69,0.33,3.63,38.8,24.95,52.44,28.81,57.62
12.67,20.31,10.11,0.26,2.51,37.28,,43.9,17.62,50.09
7.17,21.84,14.99,0.45,3.53,23.68,16.78,49.42,22.18,47.92
14.02,23.44,23.13,0.35,2.15,29.51,17.99,47.55,26.86,45.76
11.75,29.35,14.32,0.42,3.95,29.39,12.14,,23.57,32.54
8.32,26.07,19.22,0.34,2.41,34.01,21.23,45.8,28.87,53.87
14.0,,9.07,0.44,0.72,28.86,20.97,35.7,15.69,50.07
10.56,23.94,5.64,0.25,2.44,30.01,18.24,37.52,28.01,43.52
16.92,22.92,24.3,0.51,4.98,40.59,20.05,57.27,21.83,34.93
6.54,29.25,12.1,0.23,4.43,39.42,18.21,50.15,23.56,48.97
5.8,32.01,19.63,0.3,2.82,28.5,23.18,49.14,21.9,42.86
12.43,18.08,19.77,0.4,3.05,39.58,16.06,48.11,30.59,46.18
13.44,27.29,19.03,0.4,1.54,34.51,17.11,49.29,22.47,33.64
6.59,25.29,16.0,0.37,3.19,24.72,14.78,36.1,20.59,53.49
10.11,24.14,14.03,0.36,3.13,24.82,15.72,41.98,18.96,37.72
12.7,21.95,17.3,0.44,2.98,34.06,22.67,41.32,17.67,
15.13,27.96,24.39,0.47,2.91,34.59,13.85,45.56,19.93,38.03
8.28,30.02,15.55,0.51,1.26,28.16,17.71,48.0,20.62,36.53
17.84,34.51,20.84,0.41,1.82,35.08,24.54,33.58,17.17,44.01
11.08,15.46,21.67,0.43,1.82,30.22,17.22,44.46,24.78,48.13
9.34,29.36,13.57,0.52,0.42,34.73,22.1,41.51,23.38,40.94
8.99,18.94,11.0,0.52,,37.87,12.65,37.72,27.78,41.98
15.62,20.07,14.95,0.4,,33.98,20.46,51.06,25.5,40.75
13.83,24.44,8.58,0.42,3.11,33.99,12.94,37.92,12.69,38.34
7.8,19.47,21.18,0.48,1.93,39.98,19.94,54.68,,44.38
11.71,19.35,12.95,0.47,2.2,38.23,23.36,37.69,24.33,47.89
13.36,12.51,20.73,0.54,3.77,32.52,19.89,30.47,24.58,43.16
7.46,36.95,12.98,0.46,3.93,34.45,14.09,50.44,12.34,39.27
14.27,29.92,10.8,0.55,2.01,34.8,18.44,42.5,20.68,46.19
7.57,14.84,17.62,0.34,,34.77,14.43,44.48,25.14,45.51
8.8,,15.76,0.28,3.68,41.34,13.86,47.98,25.33,39.89
5.4,28.31,7.11,0.31,2.79,38.01,15.62,58.87,21.86,42.2
13.06,17.28,17.12,0.8,2.86,32.91,19.58,48.93,21.05,31.12
13.47,20.37,17.14,0.29,2.43,43.76,,49.53,18.81,51.02
12.16,26.26,14.34,0.35,3.36,36.71,20.12,47.17,12.27,49.65
6.77,17.92,15.57,0.46,3.22,,20.55,57.56,25.58,38.69
10.95,30.69,17.83,0.56,4.31,44.09,24.49,35.43,23.6,47.11
9.51,24.83,19.96,0.31,3.47,36.28,10.83,,18.1,38.75
12.02,25.03,16.99,0.44,3.74,33.4,14.91,53.28,21.69,52.66
9.25,29.33,10.66,0.53,3.97,33.67,14.75,50.43,22.46,53.31
13.27,27.32,9.91,0.48,3.72,32.29,23.11,51.57,28.54,52.0
9.12,25.21,16.13,0.29,2.72,40.11,17.89,35.76,21.2,35.05
8.29,28.76,11.54,0.48,4.09,23.72,14.32,39.24,29.79,48.73
15.42,22.59,14.11,0.42,3.8,35.71,14.23,38.13,17.3,54.6
9.31,22.13,16.42,0.37,2.72,43.03,13.44,46.67,25.78,
10.8,23.67,17.94,0.54,4.83,32.96,21.6,40.38,25.34,38.61
14.9,24.16,20.6,,3.31,36.36,25.67,37.35,22.89,
11.08,24.93,19.2,0.33,3.72,33.16,21.07,25.62,25.47,54.17
12.16,22.32,18.05,0.27,2.84,34.67,11.94,43.83,24.23,45.44
14.56,26.16,16.6,0.49,3.18,29.91,25.26,50.21,15.24,47.68
9.54,20.2,12.33,0.37,2.72,34.73,12.9,50.36,31.41,47.41
8.67,23.91,16.32,0.33,2.36,34.76,18.86,49.96,20.81,42.38
7.61,21.88,12.02,0.46,3.43,32.35,20.48,54.95,23.9,40.14
10.45,23.77,18.0,0.61,2.39,31.3,18.88,39.36,19.03,28.0
10.05,17.53,14.78,0.36,3.51,30.06,,55.6,19.92,40.51
10.17,21.67,16.92,0.32,2.12,29.77,14.29,37.86,22.14,43.06
12.96,21.43,3.69,0.4,3.37,39.73,17.58,33.21,20.22,50.47
9.08,29.39,15.87,0.17,2.71,35.11,15.42,40.44,24.18,39.73
16.07,23.53,15.95,0.38,2.16,30.78,15.58,48.11,23.29,41.88
13.16,36.8,13.15,0.58,4.99,39.65,19.77,44.02,,57.5
13.58,29.68,16.97,,3.43,37.77,19.64,37.78,20.65,41.39
7.7,22.08,6.99,0.2,1.87,40.05,21.26,54.46,26.02,49.31
7.42,23.33,10.56,0.58,2.31,38.73,,37.05,24.49,46.3
7.06,23.84,15.83,0.31,0.86,23.63,19.32,54.49,17.53,25.56
10.59,20.17,12.65,0.39,2.91,28.52,22.41,,24.86,38.3
12.79,28.67,16.32,0.44,2.79,36.01,19.73,39.21,19.1,35.1
12.4,13.62,15.51,0.34,3.52,51.72,12.22,44.2,29.61,38.48
10.16,29.79,11.84,0.29,1.85,48.03,14.58,34.92,23.27,38.97
9.16,28.84,21.05,0.27,3.74,32.36,21.14,49.75,21.11,33.05
10.63,24.22,14.35,0.26,1.51,33.34,14.55,49.54,21.19,38.64
15.85,22.58,8.67,0.32,3.24,31.88,21.33,46.2,22.66,53.93
12.15,29.37,18.18,0.46,3.38,35.29,12.9,43.38,22.13,36.61
16.32,31.38,13.43,0.25,2.25,38.32,14.22,41.07,23.44,41.0
16.26,19.46,11.31,0.21,3.76,31.11,14.31,49.33,18.91,64.95
9.99,27.01,15.87,0.34,4.1,41.64,13.71,31.53,24.35,33.09
10.74,21.1,15.68,0.33,1.76,28.75,19.99,46.25,25.63,32.06
9.52,20.93,17.76,0.48,2.65,31.71,15.41,51.54,13.68,36.54
