batting_avg,strike_rate,centuries,half_centuries,fours_per_innings,sixes_per_innings,bowling_avg,economy_rate,wickets,fielding_dismissals
35.61,157.29,0.68,11.12,5.02,6.46,38.35,8.84,3.79,9.73
28.97,169.01,2.71,11.38,5.6,4.09,39.62,8.74,1.17,7.58
30.91,181.67,0.32,11.68,7.27,5.85,60.63,9.45,7.92,13.01
33.16,172.49,1.69,7.4,8.23,4.32,55.14,9.17,,5.3
37.45,146.37,0.94,10.6,5.02,3.93,39.89,10.72,8.83,8.74
32.72,170.44,3.3,13.11,2.98,4.68,64.41,9.0,2.8,5.22
40.79,165.13,1.13,9.82,3.76,1.76,,8.98,1.3,10.4
39.71,144.7,2.31,,6.48,4.53,64.68,9.53,4.65,9.41
26.37,166.68,1.55,9.09,8.25,5.82,65.56,10.79,4.26,8.03
33.42,143.9,3.27,12.67,4.76,4.51,46.41,9.05,4.03,6.49
27.48,159.57,2.28,17.45,5.73,4.27,50.68,9.03,4.39,9.62
30.22,147.4,3.2,9.06,6.41,3.65,66.76,9.54,,13.37
31.64,135.1,1.75,10.68,4.13,4.57,61.3,9.41,4.67,9.9
32.0,145.65,0.54,13.02,4.16,2.27,59.17,12.42,5.37,6.19
31.99,161.92,1.87,11.74,2.98,4.06,53.85,10.36,4.73,9.69
26.28,162.34,2.43,9.52,8.13,4.45,63.85,8.17,6.95,6.81
38.53,141.72,1.28,14.97,3.9,3.47,46.59,10.64,7.77,8.79
39.12,158.47,1.13,9.86,5.44,4.42,49.73,10.81,1.48,7.71
33.12,169.24,1.34,7.45,7.0,4.58,61.84,9.83,5.77,6.26
39.31,152.78,1.18,12.83,4.63,2.98,65.83,10.07,5.72,6.82
34.25,138.5,1.68,12.59,5.69,5.58,51.83,7.92,5.65,8.14
31.28,173.41,2.08,10.6,5.08,3.44,56.11,10.78,6.2,7.28
25.39,143.43,2.63,,3.79,4.98,54.66,9.63,5.11,9.36
33.25,167.77,1.8,14.54,2.15,4.02,58.62,10.07,3.4,7.22
35.86,167.32,1.34,15.04,5.47,4.2,39.46,10.09,3.25,11.64
24.67,167.08,3.47,8.36,5.3,,40.84,9.11,4.79,6.33
30.88,162.59,1.63,17.2,6.82,3.7,36.85,9.41,5.6,6.56
27.88,167.54,2.86,10.33,6.37,3.27,,9.45,6.89,8.49
29.7,148.78,2.06,16.25,7.24,2.36,55.27,9.01,1.11,9.84
47.98,148.97,1.82,12.34,7.42,5.03,51.28,8.7,5.12,4.27
34.2,163.06,3.21,6.63,6.45,4.89,54.57,9.01,5.17,9.4
34.54,157.84,2.57,10.79,6.53,4.47,56.2,9.71,6.57,8.6
19.71,139.23,3.4,11.68,2.76,7.22,59.57,7.49,5.36,5.75
28.65,155.67,1.82,,6.57,4.11,59.8,9.09,1.8,7.85
36.78,146.04,1.2,19.5,2.77,3.68,65.91,11.0,4.58,10.41
31.38,146.12,2.38,13.76,8.19,5.46,59.99,10.0,5.6,
39.66,144.4,3.55,10.32,8.05,3.76,52.96,10.19,2.59,8.24
35.31,133.14,3.04,14.57,5.75,1.65,61.58,,5.86,8.9
39.14,144.49,2.84,4.79,3.96,3.78,70.07,8.88,5.35,9.82
29.14,151.84,1.2,12.33,7.66,3.8,52.98,8.38,5.1,6.46
28.99,163.71,0.69,9.6,5.75,3.08,57.19,10.36,2.83,11.14
30.09,126.43,1.78,12.98,6.18,4.78,47.84,9.71,6.47,6.69
26.36,174.13,2.05,9.17,,2.69,45.25,7.67,5.65,8.44
25.14,154.94,2.93,14.04,7.87,1.82,52.52,9.9,5.36,10.5
28.84,156.71,0.01,17.99,6.56,4.79,44.57,12.58,6.66,9.33
29.89,147.63,1.82,10.01,5.9,3.32,66.44,10.63,5.57,7.91
39.52,152.11,1.64,10.86,4.4,3.26,53.45,8.81,1.31,9.55
29.05,166.66,1.75,9.11,7.2,3.56,47.47,9.68,,11.61
40.94,147.36,0.56,17.57,6.61,6.14,75.25,8.3,7.37,8.64
21.93,166.81,4.17,12.58,7.46,4.88,53.36,9.7,7.42,7.32
28.44,139.27,2.8,10.37,8.18,4.05,55.99,9.45,4.39,7.42
33.02,160.41,3.38,16.4,3.65,5.15,57.3,10.19,8.85,4.11
31.63,154.52,2.5,9.11,8.83,3.54,52.2,10.35,8.1,9.29
34.63,166.96,1.11,16.39,8.06,4.82,45.97,8.81,7.44,8.31
38.42,171.96,2.46,8.8,5.11,3.61,55.91,10.04,4.2,11.81
36.62,145.76,2.41,7.87,6.85,3.82,53.53,10.54,6.21,12.05
32.13,158.34,1.84,12.63,6.51,4.46,52.84,9.78,5.4,8.56
30.95,157.72,2.34,9.31,4.29,4.84,58.16,8.57,7.15,9.4
24.64,162.45,1.65,10.81,4.86,3.4,60.2,10.28,1.28,8.93
,158.14,2.46,13.45,6.8,2.99,60.5,9.08,4.21,6.36
28.39,170.22,3.05,9.65,6.74,3.15,53.06,9.55,7.48,8.21
32.1,145.82,1.4,9.24,6.47,4.6,39.36,10.25,6.04,10.54
29.58,174.14,1.32,10.87,5.16,3.87,57.1,9.81,4.2,6.59
28.0,149.17,2.06,12.17,7.36,3.72,52.91,9.65,4.05,4.51
28.49,118.82,1.83,17.06,4.11,4.81,53.81,9.38,5.9,8.5
39.98,168.73,2.19,,3.89,4.64,68.67,8.67,4.73,8.0
22.05,180.66,1.53,10.29,5.36,5.38,58.06,9.47,5.3,9.54
37.5,151.25,2.27,18.35,5.89,4.29,53.21,10.2,2.94,8.2
29.34,156.6,2.56,9.05,6.66,3.74,58.94,9.48,4.25,9.03
34.5,152.24,3.07,11.47,7.2,3.74,71.17,11.02,1.77,5.34
29.66,153.94,2.62,12.15,6.07,3.25,,8.14,,8.11
31.41,155.47,1.24,10.29,7.36,3.53,64.51,8.24,,9.26
24.56,147.69,3.46,10.91,6.98,4.42,53.5,9.08,4.32,6.75
39.23,158.89,2.43,10.85,8.45,5.02,57.74,10.84,6.97,7.99
30.55,150.84,3.98,12.84,5.03,3.97,64.23,8.83,4.97,4.48
30.79,136.07,1.11,17.69,5.3,5.23,50.87,9.19,6.18,4.97
35.95,158.07,2.86,12.06,5.05,4.01,58.97,9.73,3.45,6.07
35.3,133.33,3.89,12.0,6.6,4.75,50.18,10.11,4.36,7.96
24.04,183.32,2.44,12.95,3.78,5.11,50.69,8.44,4.71,7.86
33.52,157.97,2.81,10.57,4.12,4.78,42.77,10.25,5.81,1.44
29.34,177.2,2.77,10.36,5.02,3.26,36.55,9.18,9.5,9.28
39.74,142.35,2.34,11.63,5.67,3.47,57.7,8.15,5.21,6.51
34.25,164.87,3.2,7.24,2.8,3.84,50.19,10.07,2.57,9.89
33.14,139.89,2.67,13.85,6.59,4.06,48.9,7.36,6.83,6.83
30.58,144.57,2.06,12.83,7.98,4.32,52.43,9.46,4.91,10.93
36.51,152.47,3.29,9.36,7.87,4.73,42.7,8.96,10.45,6.37
32.82,155.93,2.9,8.97,5.64,3.77,59.09,8.06,3.05,7.53
20.15,144.03,0.57,12.68,,4.91,59.04,9.78,5.98,9.18
31.75,138.93,3.33,6.91,7.25,2.36,65.26,8.72,3.22,10.86
35.45,161.51,1.79,10.69,5.97,,57.93,7.83,3.43,5.97
33.4,170.87,3.83,11.36,4.89,4.09,53.26,8.03,7.68,8.31
25.91,151.37,3.18,12.13,6.62,3.66,54.93,10.78,5.66,7.37
33.19,167.83,1.3,9.44,6.25,3.85,43.51,9.33,2.73,9.13
30.31,143.94,1.67,14.34,7.52,4.82,46.67,8.55,6.44,7.1
27.14,150.99,0.34,8.26,6.61,3.56,41.97,11.37,4.73,9.31
32.93,159.78,2.86,10.18,8.65,5.04,62.59,9.38,2.89,11.49
22.4,163.26,2.57,13.34,5.89,5.21,56.17,9.59,6.97,4.87
33.43,146.66,3.72,12.18,4.91,2.93,60.77,9.03,3.42,11.97
28.38,158.32,2.97,9.75,7.71,3.93,70.44,8.44,4.62,6.83
31.6,150.48,0.58,11.39,6.85,4.16,61.4,8.51,0.58,3.95
30.11,152.22,0.46,9.67,6.06,3.46,57.32,9.82,6.35,8.18
25.38,145.81,2.23,13.1,5.37,3.87,46.08,8.38,1.77,10.19
24.64,152.41,1.85,9.58,7.66,3.75,42.86,9.5,5.57,5.76
28.65,154.36,1.54,14.25,3.54,4.73,69.52,9.18,6.83,9.83
31.03,157.14,0.0,12.5,5.4,3.76,48.16,9.73,8.21,12.02
34.88,159.02,0.24,9.75,5.24,5.04,55.27,9.82,6.24,7.98
30.16,140.41,3.14,11.65,6.08,3.23,51.75,9.96,5.5,5.35
31.21,160.42,2.6,10.98,,4.64,51.94,8.6,6.67,10.01
38.79,168.28,1.25,16.96,4.03,5.06,52.95,8.42,6.72,11.5
27.22,145.71,2.28,12.26,7.73,5.43,44.74,8.34,2.71,9.27
30.15,156.51,3.01,9.77,7.6,3.93,57.56,10.35,5.06,8.12
30.84,158.62,1.63,15.97,8.07,2.92,44.25,11.72,5.45,9.12
33.93,144.32,1.93,18.35,9.17,4.58,60.69,8.79,4.72,9.67
33.53,161.22,2.88,8.67,5.23,3.78,61.17,10.64,3.16,6.88
30.37,171.5,1.57,11.91,4.1,3.82,39.32,10.35,3.96,5.49
35.49,148.14,3.07,11.92,,4.06,63.56,10.62,5.38,8.05
39.02,174.41,,18.13,7.46,3.71,55.3,9.12,7.77,7.89
28.08,142.29,0.72,14.65,2.85,3.58,46.96,10.02,3.95,9.81
27.52,149.48,1.06,13.62,4.09,4.21,57.57,9.75,9.48,8.89
31.9,171.39,2.5,15.0,5.13,4.5,49.3,7.95,9.86,8.21
36.1,149.95,3.26,9.59,5.41,4.05,52.57,10.49,3.64,5.3
32.14,155.46,3.46,7.86,5.69,3.33,56.63,8.16,4.94,8.27
27.12,156.3,1.86,10.04,5.73,3.75,54.2,9.02,4.86,7.78
30.55,159.92,2.85,9.19,6.91,4.45,50.22,8.74,9.62,6.18
29.6,163.97,1.72,15.0,5.34,2.57,46.81,6.76,3.49,9.8
22.69,171.05,0.95,13.28,8.38,5.94,55.62,10.46,7.58,7.95
