annual_income,monthly_spend,avg_basket_size,purchase_frequency,discount_usage_pct,loyalty_points,online_orders_pct,return_rate_pct,customer_age,months_active
189934.28,1990.09,393.97,3.33,80.86,729.22,34.86,6.14,43.49,14.65
177234.71,1848.9,351.97,3.29,62.11,951.91,24.17,6.71,43.39,18.86
192953.77,1948.29,304.38,5.43,69.59,770.27,27.84,6.4,42.88,13.98
210460.6,2214.42,326.88,5.86,64.06,813.59,28.24,5.41,51.34,13.14
175316.93,2383.36,367.14,3.07,76.51,907.61,29.88,5.53,51.82,17.01
175317.26,2171.15,440.92,3.33,64.41,791.16,31.17,6.4,36.39,17.72
211584.26,2030.52,325.8,5.14,59.15,527.32,19.56,2.1,43.59,16.99
195348.69,2449.4,390.24,4.53,73.1,956.09,32.5,7.66,53.85,26.36
170610.51,,333.6,4.68,57.33,988.24,27.25,5.9,42.32,18.21
190851.2,2309.28,355.52,4.9,77.07,525.33,38.68,3.31,56.14,22.8
170731.65,1913.58,425.77,3.76,64.94,643.51,36.52,5.37,50.49,29.16
170685.4,2129.31,388.21,4.33,68.28,1103.58,40.58,7.64,59.05,15.63
184839.25,1965.93,287.94,4.25,56.76,834.81,22.49,5.58,42.51,18.74
141734.4,1983.24,321.38,3.14,88.2,,40.29,3.54,50.61,22.08
145501.64,1886.78,412.81,4.32,63.3,736.04,30.75,2.45,50.86,18.61
168754.25,2403.46,357.09,5.24,72.09,645.39,35.52,9.93,53.62,16.61
159743.38,1780.12,292.56,3.67,60.67,770.84,35.4,1.52,47.83,29.72
186284.95,1777.93,309.05,4.15,68.31,946.16,33.67,5.67,53.91,23.99
161839.52,2636.3,385.17,4.21,89.01,797.65,21.29,3.83,39.95,7.49
151753.93,2293.35,399.72,3.72,77.38,891.54,37.64,7.08,44.55,24.79
209312.98,1284.47,350.89,4.68,69.21,1064.86,32.81,2.57,33.1,26.0
175484.47,1830.42,473.77,3.32,74.73,712.93,18.22,8.22,42.84,23.98
181350.56,1456.4,391.21,5.33,70.52,845.43,26.13,4.75,38.19,21.75
151505.04,1714.79,337.83,4.63,74.26,950.66,20.3,4.56,47.65,25.75
169112.35,1058.45,309.21,3.06,80.95,660.06,18.59,4.37,52.89,22.41
182218.45,1958.9,301.26,5.7,72.35,826.71,36.83,3.81,49.52,20.89
156980.13,1657.42,366.77,4.17,76.76,1080.85,18.17,4.26,51.24,18.67
187513.96,2017.97,325.56,3.28,76.89,748.96,19.43,6.44,45.76,12.64
167987.23,1512.46,433.69,5.1,72.39,960.25,45.83,1.56,43.87,11.14
174166.13,2024.87,423.32,4.49,69.11,778.83,26.42,3.5,35.62,21.86
167965.87,1875.53,381.65,2.23,70.8,1069.94,35.26,7.99,29.6,21.78
217045.56,2450.59,291.05,3.47,80.59,553.18,39.0,4.82,32.94,17.79
179730.06,2423.41,316.39,4.28,81.26,809.74,36.19,3.86,39.7,13.72
158845.78,2235.6,412.78,1.84,65.9,578.17,31.2,2.45,52.3,12.35
196450.9,1902.02,321.85,4.09,72.91,694.87,29.7,,35.17,16.19
155583.13,2595.61,406.11,4.16,68.98,693.98,34.3,6.96,38.43,21.51
184177.27,1534.09,373.73,2.82,81.4,759.96,28.2,3.35,41.24,29.19
140806.6,1578.93,352.59,4.27,71.23,621.76,35.56,6.61,55.31,17.88
153436.28,1974.87,314.86,4.01,92.61,789.24,27.93,3.04,44.69,19.44
183937.22,2676.21,345.29,2.81,76.74,869.07,28.84,4.75,46.08,23.63
194769.33,1939.3,359.48,4.92,84.46,570.21,45.05,4.86,48.29,17.68
183427.37,1945.03,401.63,4.84,66.88,704.76,26.16,3.49,56.16,19.84
177687.03,1567.43,305.71,3.71,75.09,1181.15,30.15,5.15,45.67,22.11
173977.93,2283.78,336.86,3.8,79.93,849.39,33.44,0.77,30.88,23.51
150429.56,2285.95,352.24,4.73,66.73,527.34,33.96,4.82,46.02,18.27
165603.12,2236.72,383.13,3.8,75.16,589.93,32.34,5.89,56.52,15.6
170787.22,1811.23,304.58,2.07,83.41,833.89,20.0,3.33,50.13,19.02
201142.44,1787.99,284.17,4.49,72.38,815.1,31.3,5.43,46.72,9.51
186872.37,1612.06,383.7,3.19,68.19,711.88,31.94,5.31,47.83,19.47
144739.2,2025.16,274.1,3.61,,1129.0,39.12,5.39,30.3,22.33
186481.68,1675.88,414.25,5.46,65.63,1192.81,35.91,2.31,29.19,26.49
172298.35,1646.78,342.2,,76.25,760.34,39.65,5.19,52.15,22.62
166461.56,1872.89,272.62,4.0,69.33,930.94,21.97,1.56,55.29,5.17
192233.53,1853.25,325.98,4.51,67.51,938.47,22.03,3.74,39.96,24.96
200619.99,1838.61,368.96,4.51,80.93,958.38,32.62,4.99,46.55,25.33
198625.6,2139.93,323.36,3.08,73.36,703.99,39.06,5.42,49.97,13.4
163215.65,2023.71,351.0,3.94,78.25,1090.92,28.4,2.58,58.28,16.0
173815.75,1913.55,387.0,4.04,56.96,789.71,24.08,4.43,44.36,25.2
186625.27,2054.9,339.89,4.27,79.02,863.3,17.19,6.59,50.9,18.28
199510.9,1702.54,303.15,4.29,69.24,800.31,32.9,3.04,60.95,15.06
170416.52,2031.58,335.05,6.59,59.97,779.05,29.1,0.69,42.76,14.24
176286.82,2045.18,420.74,2.82,90.08,841.76,26.53,6.06,45.52,31.17
