performance_score,projects_completed,weekly_hours,training_hours_yr,salary_lakh,promotions,attendance_pct,satisfaction_score,years_experience,team_rating
94.76,17.22,48.89,83.99,28.95,3.66,98.05,4.15,9.63,5.0
96.52,14.63,50.99,89.41,31.55,3.8,100.0,4.26,10.92,4.25
94.25,16.58,43.65,69.36,22.53,3.22,100.0,4.69,10.7,4.41
92.81,16.61,47.45,103.12,29.68,3.43,94.48,3.89,6.46,4.42
87.55,14.32,48.99,77.03,22.24,3.09,94.71,3.84,10.07,4.47
90.14,17.37,45.31,63.3,24.88,3.04,95.77,4.1,8.52,4.07
96.93,17.07,49.18,89.51,32.9,2.69,100.0,4.11,7.3,4.73
87.73,17.16,43.88,90.74,24.01,3.81,100.0,4.27,6.56,4.53
93.08,18.4,42.52,67.08,25.17,2.88,95.31,4.63,11.04,4.21
91.65,16.84,52.64,62.01,34.52,1.37,97.37,3.93,7.74,3.67
91.33,16.57,45.44,87.47,24.75,2.79,95.7,4.23,10.23,4.74
91.33,17.86,54.53,80.74,31.16,3.23,96.95,3.86,10.83,4.77
87.97,18.72,38.7,79.84,22.01,4.18,96.95,3.63,12.8,4.41
92.58,17.39,51.79,87.15,27.63,,98.75,4.52,12.16,4.61
91.0,21.23,46.78,89.08,26.61,1.85,95.7,4.32,12.23,4.62
87.65,19.33,45.12,94.49,24.55,3.22,99.75,4.22,7.65,5.0
98.14,17.27,49.16,83.55,24.87,3.22,98.02,3.96,8.75,4.81
89.74,17.38,49.74,65.58,28.09,,98.11,4.34,,4.74
92.62,18.7,54.52,82.03,34.17,3.92,96.06,,9.16,4.31
95.1,20.2,51.97,74.0,28.28,2.44,97.33,4.16,8.81,4.28
81.89,22.93,49.74,71.37,30.74,2.02,100.0,4.23,5.74,4.35
91.88,19.77,44.79,93.36,,2.49,98.29,4.48,6.05,4.74
87.88,17.1,48.17,94.91,28.59,2.92,94.24,4.29,9.11,4.43
94.05,16.08,51.32,85.49,26.11,3.75,96.34,4.13,8.51,3.98
85.75,15.82,48.7,81.08,31.86,2.46,97.66,3.5,9.38,4.34
89.88,,51.83,76.67,32.34,3.98,95.34,,5.51,
89.69,18.99,56.64,75.83,20.16,3.87,98.78,4.87,9.8,4.29
98.42,19.45,48.78,93.3,30.21,4.3,99.63,4.27,8.09,4.47
88.19,20.93,42.81,77.82,27.08,2.83,97.21,4.56,9.17,4.23
86.1,13.16,46.27,81.73,25.6,2.16,98.43,4.66,2.4,4.28
88.45,15.54,45.64,78.49,28.88,3.46,94.03,4.4,7.72,4.18
83.41,21.9,43.09,88.56,31.77,2.43,94.71,4.34,7.27,
,20.33,44.01,76.26,28.59,2.82,94.62,4.52,7.57,4.61
90.07,17.37,48.35,70.16,30.27,3.2,95.83,3.98,11.44,
91.74,19.38,53.4,92.37,27.49,3.9,95.05,4.42,8.61,4.25
90.33,19.23,48.67,84.51,26.59,3.27,96.47,3.61,7.23,4.63
88.09,18.6,51.19,90.09,30.22,3.54,99.91,4.41,7.41,4.75
82.71,17.75,49.44,80.6,20.37,3.66,97.8,4.57,9.15,4.44
90.88,20.14,51.17,93.21,29.81,4.44,99.12,4.6,8.1,4.49
98.71,18.95,47.92,76.7,28.8,3.1,98.37,3.86,6.53,4.73
81.11,18.81,40.42,92.14,34.69,4.05,97.06,4.19,7.34,5.0
98.72,19.63,49.21,91.26,29.25,4.69,98.43,3.9,6.54,4.55
97.39,22.56,52.73,81.09,27.61,4.08,96.46,4.24,7.74,4.75
84.79,19.99,48.61,73.11,29.47,2.21,96.35,4.27,11.45,4.84
86.91,13.63,52.09,94.87,29.05,3.38,98.59,3.97,8.79,4.19
92.09,16.24,49.85,85.79,19.31,3.31,98.0,3.76,8.41,4.54
86.01,18.87,49.74,85.32,34.24,2.73,98.53,4.62,4.58,4.41
97.18,18.53,47.04,70.43,21.42,3.46,95.29,4.4,11.33,4.48
95.59,21.72,51.95,90.61,28.33,2.81,98.33,3.98,10.35,4.49
88.86,18.97,51.99,86.28,35.0,2.96,94.54,4.74,7.73,4.71
89.54,14.78,47.7,85.27,28.44,3.39,96.15,4.17,10.2,4.77
91.27,16.56,52.25,74.58,32.58,2.48,99.95,4.65,5.54,3.75
90.87,20.82,51.3,79.31,27.98,3.02,96.28,4.04,6.46,4.61
91.41,16.78,50.85,87.2,31.25,4.06,95.69,4.29,7.92,4.29
94.21,17.96,49.82,80.96,29.57,2.72,99.14,,5.87,5.0
90.79,19.27,53.27,88.84,24.76,2.23,93.49,4.13,7.0,4.77
96.08,17.52,48.64,80.82,26.82,3.81,96.09,4.04,8.94,4.28
96.19,18.12,39.97,87.72,29.9,4.01,99.05,4.14,10.66,4.79
150,16.62,50.84,75.82,27.53,2.66,96.04,3.81,9.26,4.15
87.95,16.98,46.45,93.29,26.26,4.38,97.99,4.31,4.34,4.71
99.74,19.98,49.66,72.03,21.68,3.55,94.62,4.18,7.44,4.26
94.11,,50.32,86.3,34.07,3.77,94.76,4.17,10.69,4.01
90.27_err,16.32,49.64,74.92,25.56,2.25,98.34,4.2,6.93,4.32
92.88,17.4,44.99,60.49,26.81,3.0,98.0,4.05,4.44,4.52
94.21,16.79,53.49,90.08,22.02,3.14,98.38,3.97,5.46,4.32
93.03,17.99,57.17,77.73,25.55,2.9,94.58,3.64,6.38,4.48
95.01,15.57,52.9,92.42,26.16,3.89,96.64,4.42,7.78,4.56
89.94,18.07,55.06,75.28,30.63,2.5,,4.62,5.23,4.75
84.15,18.86,54.96,88.05,34.15,3.95,,4.49,7.34,4.78
97.45,20.97,48.87,66.86,33.98,3.43,96.49,4.72,8.96,4.15
95.33,20.03,44.68,96.52,35.77,3.05,97.73,4.62,7.93,4.18
94.74,18.6,42.48,92.43,30.05,1.7,98.84,4.23,7.47,4.64
87.12,14.66,45.89,68.86,28.66,2.8,98.98,4.14,8.72,4.06
89.0,20.79,44.25,65.38,34.84,3.91,90.74,4.0,9.99,4.47
87.39,20.44,,80.02,30.9,3.35,96.73,4.49,6.67,4.03
94.58,17.71,45.52,81.27,29.11,3.71,96.96,4.57,7.5,4.57
