age,account_balance,call_duration_sec,campaign_contacts,prev_contacts,has_loan,has_housing,credit_score,subscribed
-5.0,41514.44,125.0,6.0,4.0,0.0,0.0,714.0,1
65.0,44850.04,-30.0,4.0,2.0,0.0,1.0,592.0,1
24.0,27225.37,114.0,50.0,0.0,1.0,1.0,684.0,0
68.0,32388.32,591.0,4.0,2.0,0.0,1.0,1200.0,1
32.0,-10000.0,284.0,14.0,0.0,0.0,0.0,703.0,0
47.0,12452.03,90.0,5.0,0.0,0.0,0.0,413.0,0
62.0,46087.72,163.0,7.0,1.0,0.0,1.0,318.0,0
21.0,37528.77,305.0,3.0,3.0,0.0,0.0,368.0,1
34.0,35587.36,466.0,1.0,0.0,0.0,1.0,712.0,1
44.0,22993.32,44.0,12.0,2.0,0.0,0.0,502.0,0
39.0,32852.36,236.0,6.0,1.0,0.0,0.0,847.0,1
52.0,18415.53,254.0,14.0,2.0,1.0,1.0,646.0,0
52.0,37367.25,227.0,11.0,1.0,0.0,1.0,837.0,0
18.0,45286.91,155.0,13.0,2.0,0.0,0.0,454.0,0
54.0,304.88,330.0,10.0,4.0,0.0,1.0,413.0,0
38.0,12730.08,423.0,1.0,0.0,1.0,0.0,333.0_err,1
30.0,22334.17,563.0,1.0,3.0,1.0,0.0,731.0,1
68.0,18785.2,407.0,5.0,0.0,0.0,1.0,687.0,1
18.0,10711.29,32.0,,2.0,1.0,0.0,384.0,0
32.0,15309.53,316.0,13.0,0.0,0.0,0.0,757.0,0
20.0,5783.19,499.0,11.0,3.0,0.0,1.0,770.0,0
42.0,,125.0,10.0,4.0,0.0,0.0,758.0,0
35.0,17496.9,274.0,11.0,1.0,0.0,0.0,779.0,1
22.0,39782.37,15.0,3.0,3.0,1.0,1.0,402.0,0
42.0,11953.23,571.0,11.0,3.0,1.0,1.0,441.0,1
65.0,20883.98,21.0,10.0,4.0,0.0,0.0,755.0,0
44.0,46444.69,456.0,4.0,3.0,0.0,1.0,590.0,1
42.0,30984.43,137.0,4.0,0.0,0.0,0.0,360.0,0
24.0,34721.13,518.0,13.0,0.0,0.0,0.0,713.0,1
,659.62,0.0,3.0,1.0,0.0,1.0,323.0,0
20.0,20225.19,546.0,4.0,0.0,0.0,1.0,419.0,1
40.0,713.92,31.0,13.0,0.0,0.0,0.0,753.0,0
25.0,42627.54,228.0,9.0,4.0,0.0,1.0,448.0,0
27.0,5274.59,114.0,5.0,4.0,0.0,1.0,602.0,0
64.0,16825.02,425.0,10.0,4.0,1.0,1.0,728.0,1
19.0,47871.34,325.0,4.0,3.0,0.0,1.0,304.0,1
56.0,28891.17,515.0,14.0,4.0,0.0,0.0,826.0,1
62.0,45264.68,423.0,5.0,4.0,1.0,1.0,648.0,1
43.0,6188.72,495.0,9.0,0.0,0.0,0.0,400.0,0
49.0,41159.42,452.0,5.0,2.0,1.0,0.0,712.0,1
44.0,14315.39,565.0,7.0,3.0,1.0,,642.0,1
38.0,22251.99,113.0,14.0,1.0,0.0,1.0,819.0,0
56.0,37470.51,266.0,9.0,2.0,1.0,1.0,309.0,0
45.0,4775.98,165.0,3.0,1.0,1.0,1.0,646.0,0
54.0,25594.69,206.0,11.0,2.0,0.0,,728.0,0
59.0,31739.13,593.0,5.0,3.0,0.0,0.0,681.0,1
32.0,25481.37,559.0,12.0,3.0,0.0,1.0,653.0,1
30.0,35043.3,186.0,14.0,1.0,0.0,0.0,838.0,0
46.0,11755.69,414.0,10.0,1.0,0.0,1.0,807.0,0
52.0,23568.25,396.0,14.0,2.0,0.0,0.0,581.0,0
45.0,19754.04,390.0,14.0,0.0,0.0,0.0,836.0,1
18.0,9203.69,334.0,10.0,3.0,0.0,0.0,642.0,0
35.0,32614.45,305.0,3.0,4.0,0.0,1.0,539.0,0
30.0,22595.49,444.0,4.0,2.0,1.0,1.0,412.0,0
44.0,44991.83,576.0,11.0,2.0,0.0,0.0,579.0,1
27.0,48852.68,44.0,2.0,2.0,,1.0,798.0,0
48.0,13758.32,290.0,12.0,2.0,0.0,0.0,515.0,1
,12427.33,305.0,8.0,0.0,0.0,0.0,311.0,0
26.0,24680.73,345.0,14.0,4.0,0.0,1.0,817.0,1
