sepal_length_cm,sepal_width_cm,petal_length_cm,petal_width_cm,leaf_area_cm2,stem_height_cm,species
-2.0,2.32,1.35,1.21,19.16,35.22,0
5.95,3.03,6.19,-1.0,4.26,11.32,1
7.3,2.32,1.87,0.14,500.0,69.49,0
4.13,2.79,6.55,2.01,19.59,-10.0,1
7.23,3.22,4.81,0.45,5.73,65.86,0
6.26,3.44,2.15,2.14,5.98,62.91,0
5.19,3.76,6.74,2.19,4.96,52.57,1
4.19,2.63,3.14,1.48,9.11,69.32,0
7.96,4.42,1.32,2.33,6.91,73.13,0
4.03,2.55,1.14,0.91,14.62,36.71,0
7.08,2.8,3.12,2.38,14.51,77.09,1
6.99,3.99,2.48,0.31,11.93,40.89,0
5.51,3.87,2.68,2.2,9.94,62.68,0
5.98,4.07,4.19,2.09,10.98,11.62,1
7.72,3.0,2.92,1.68,8.3,36.6,0
5.58,2.93,5.05,,5.9,12.18,1
7.9,2.12,6.39,1.99,9.9,63.36,1
6.1,2.69,1.95,0.53,18.19,65.55,0
4.37,3.39,1.13,,2.69,49.31,0
7.25,2.67,4.75,0.72,3.21,58.08,0
4.85,3.81,4.95,0.46,18.34,69.65,0
6.22,3.96,5.63,2.27,11.01,13.4,1
5.17,3.97,2.92,1.98,17.07,51.32,1
7.26,4.04,6.66,1.82,3.01,68.9,1
7.31,2.29,2.2,2.35,3.45,15.67,0
4.89,3.0,1.53,2.22,5.69,51.3,0
6.58,,3.48,0.98,6.57,16.69,0
4.38,4.06,5.49,0.68,8.8,47.77,1
5.65,4.2,1.65,1.5,2.13,49.27,0
4.39,2.24,1.89,1.62,11.67,32.92,0
4.58,4.01,4.67,0.11,7.03,53.26,0
4.85,2.26,6.03,1.76,4.46,20.65,1
5.91,2.37,5.81,1.76,6.5,50.19,1
4.31,3.16,3.01,1.25,19.59,29.95,1
4.94,2.86,4.68,1.38,5.2,57.15,1
4.03,3.97,5.35,2.15,4.73,,1
7.59,3.41,5.93,0.39,18.42,37.77,0
6.21,4.49,6.78,1.02,19.51,33.14,1
4.67,2.79,3.2,1.01,14.73,17.11,0
7.72,3.38,1.12,1.24,6.58,63.58,0
6.17,3.45,4.65,0.86,7.18,59.88,1
4.17,3.33,6.26,2.17,6.56,39.32,1
6.1,4.49,1.13,1.93,4.88,33.5,0
6.56,4.22,4.35,1.41,13.79,46.72,0
7.2,3.62,3.79,1.35,,11.04,1
7.34,3.64,3.52,2.33,14.18,27.09,0
5.01,3.21,2.61,1.11,8.8,30.61,0
7.87,3.84,5.78,,5.19,40.4,1
5.86,4.42,1.93,1.03,19.54,18.65,0
5.06,3.23,5.52,1.65,17.37,37.1,1
6.2,2.86,2.82,2.17,14.83,45.5,0
5.51,3.47,4.43,1.47,13.78,11.01,1
4.81,3.71,1.65,2.0,,,0
7.66,3.51,3.11,1.66,7.95,61.94,0
7.76,3.58,6.24,0.87,13.38,22.77,1
7.35,2.99,4.26,,6.31,24.81,1
5.73,2.44,4.95,1.31,2.45,18.8,0
6.86,2.22,4.68,0.87,11.82,28.11,0
7.41,3.62,2.4,1.46,2.38,64.66,0
4.32,2.26,,1.91,2.2,73.59,1
5.64,2.32,5.03,0.44,18.4,47.21,0
6.57,3.59,3.79,0.98,18.91,48.62,0
7.91,3.54,2.79,1.16,6.99,79.72,0
6.82,3.08,6.0,1.6,2.83,14.85,1
6.55,2.97,3.37,0.62,10.86,19.15,0
4.82,2.24,6.56,0.52,7.13,22.6,1
5.17,2.96,4.02,1.9,5.6,17.67,1
4.64,2.03,1.96,2.16,,73.48,0
5.22,3.3,1.21,2.01,12.54,27.72,0
6.87,3.55,5.44,1.14,2.93,24.16,0
7.83,2.79,,,7.53,77.89,0
4.06,2.9,4.0,0.6,16.73,11.3,0
5.25,3.41,2.14,0.78,15.49,19.72,0
4.2,3.78,3.39,1.19,8.4,47.68,1
7.5,3.1,3.74,0.74,14.15,33.18,0
6.78,3.04,5.28,1.89,8.93,16.71,1
7.31,,3.61,2.33,4.19,20.78,1
7.67,3.69,4.53,1.27,14.73,39.31,0
4.61,2.12,4.57,1.5,3.69,42.52,0
5.88,4.1,3.11,2.14,2.48,20.85,1
6.19,3.08,4.42,2.07,5.09,10.85,1
6.07,3.9,3.1,0.91,10.19,21.07,0
6.88,3.83,1.05,,3.18,48.64,0
7.29,2.57,5.47,1.43,7.64,10.85,1
4.94,4.24,2.23,0.17,13.58,53.18,0
4.42,2.65,5.19,0.71,4.29,73.19,1
6.46,4.01,4.69,1.14,19.73,79.54,1
4.97,3.53,1.89,2.16,17.11,17.37,0
7.31,3.55,5.49,0.18,10.39,68.42,0
5.86,4.42,2.76,1.99,18.22,49.1,0
6.76,3.96,4.29,2.17,15.18,62.8,1
5.42,3.03,6.83,,6.72,40.66,1
4.41,2.08,4.45,0.22,9.59,45.28,0
5.2,2.4,2.67,1.78,18.9,26.22,1
4.65,3.24,5.09,0.72,9.56,52.83,0
4.93,3.87,4.59,0.81,15.5,49.48,1
6.18,2.34,3.68,1.71,8.09,54.89,0
5.42,2.06,3.23,2.18,12.79,18.78,1
6.98,4.09,5.34,,16.54,70.9,1
6.59,4.49,5.26,1.35,5.08,12.61,1
7.08,2.69,6.48,0.79,17.14,12.33,1
7.16,3.41,6.43,0.84,9.82,65.2,1
6.11,3.62,6.92,0.4,11.28,24.57,1
5.03,3.57,6.68,2.5,5.86,79.34,1
7.98,3.85,6.91,2.1,19.93,46.37,1
4.43,2.65,5.25,1.78,6.01,23.56,1
5.66,,6.54,0.99,6.03,63.85,1
4.62,4.32,5.52,1.59,10.55,16.48,1
6.03,3.93,5.98,0.79,11.23,10.53,1
7.23,3.26,1.03,0.33,16.0,52.6,0
5.9,2.1,4.31,1.05,4.56,28.03,0
5.74,3.85,4.93,1.39,5.17,49.47,1
5.33,2.86,3.64,2.11,2.24,24.57,1
4.31,2.58,3.25,2.44,12.88,59.72,1
6.9,2.48,5.05,1.87,18.49,51.95,1
7.01,3.22,6.17,0.76,8.4,62.0,0
6.46,2.19,4.86,2.43,10.61,16.66,1
7.61,3.57,6.58,1.0,16.09,70.33,1
4.53,2.38,3.23,1.82,13.01,79.04,1
4.8,2.95,4.8,2.14,4.64,51.07,1
7.39,4.37,3.53,0.77,10.85,52.69,0
6.64,2.19,6.91,0.79,10.7,66.71,0
6.07,2.91,2.56,1.78,3.34,78.17,0
7.09,2.17,3.36,2.33,13.07,19.81,1
7.11,2.83,4.43,1.95,3.88,60.37,1
6.22,4.4,6.43,0.85,9.71,16.44,1
6.76,3.45,3.82,1.54,3.82,63.29,0
5.0,3.19,1.37,1.3,18.74,59.79,0
6.81,4.37,1.45,0.4,14.28,71.61,0
5.6,4.15,4.8,0.79,14.98,31.38,1
6.47,3.53,6.78,1.55,12.35,77.15,1
6.4,4.1,1.65,1.4,2.05,46.91,0
6.44,2.81,6.32,1.35,3.05,49.69,1
6.81,3.76,3.96,1.16,17.03,11.18,0
4.31,2.88,1.9,0.9,2.18,53.12,0
4.85,2.88,1.7,1.31,5.58,19.83,1
5.19,3.85,6.03,1.49,10.68,15.36,1
7.86,2.01,6.67,0.74,17.67,39.64,1
6.63,3.71,,2.44,15.15,68.54,1
4.7,2.26,5.54,0.51,17.09,26.17,1
6.73,2.82,6.11,0.43,9.73,14.82,1
7.36,4.21,6.4,2.4,16.44,30.12,1
7.6,3.68,1.04,0.31,7.4,55.12,0
4.83,4.38,2.78,2.36,14.52,62.9,1
7.79,4.29,2.97,0.36,6.0,62.4,0
4.93,2.88,1.36,0.39,19.22,71.95,0
4.62,2.93,3.19,0.54,12.89,39.07,0
6.52,3.46,2.86,1.46,6.23,54.07,0
4.15,2.63,3.93,1.1,3.55,51.69,0
7.18,3.29,1.54,1.74,15.63,19.03,0
4.57,3.8,5.78,1.17,8.12,,1
4.35,3.8,4.23,1.3,8.19,30.61,0
7.28,3.47,2.04,1.5,19.98,73.23,0
7.85,2.52,2.82,2.06,17.77,53.21,0
7.04,3.43,6.16,0.46,4.01,23.81,1
7.28,2.33,4.73,1.11,15.66,30.16,0
7.75,,1.86,1.18,12.54,33.68,0
5.66,2.84,2.36,0.19,19.63,26.32,0
5.28,4.31,4.31,0.62,13.51,71.49,0
6.83,3.31,4.57,1.44,15.27,71.59,0
6.51,4.25,4.29,,9.41,72.08,0
6.74,3.55,5.26,2.21,4.78,48.17,1
6.85,3.67,4.38,0.71,6.78,35.17,0
6.86,4.25,5.4,1.34,2.87,36.6,1
4.89,2.96,3.84,0.56,18.46,37.29,1
4.33,2.59,3.86,1.74,12.99,26.36,1
6.0,3.69,4.55,1.55,13.97,28.23,1
7.76,2.2,3.08,1.66,15.2,30.45,0
6.94,2.79,3.72,1.93,7.96,65.08,0
4.66,3.28,3.25,2.09,9.43,75.56,0
4.27,3.41,4.71,0.17,14.1,68.38,1
6.33,4.07,5.53,1.22,8.34,71.79,1
6.33,3.82,,1.97,10.34,57.94,1
6.7,2.76,1.84,1.13,11.42,12.79,0
,3.67,,1.64,3.48,31.83,0
5.8,2.49,3.87,2.41,13.33,18.66,1
6.8,4.35,4.7,0.97,9.63,17.7,1
4.63,3.81,4.45,0.56,18.01,30.46,1
4.75,3.89,5.75,1.85,,30.16,1
5.76,3.71,6.76,0.96,14.24,13.56,1
5.0,2.76,4.46,,10.17,65.51,0
7.68,2.85,2.16,0.3,10.21,39.69,0
,4.07,2.72,1.73,19.81,79.52,1
5.6,2.08,3.52,2.06,4.86,49.19,1
