bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,island,sex,species
,18.5,230.3,3140.0,1.0,0.0,1
47.9,16.3,500.0,4099.0,0.0,1.0,1
33.0,13.1,219.3,-100.0,2.0,0.0,0
54.0,-3.0,216.7,6022.0,2.0,1.0,1
52.7,13.4,230.9,3572.0,2.0,1.0,1
57.3,18.2,186.4,5827.0,2.0,1.0,0
42.0,16.5,178.3,3879.0,2.0,0.0,0
38.9,21.4,215.2,5698.0,2.0,1.0,1
47.0,16.0,190.8,3617.0,0.0,0.0,0
42.2,17.3,213.2,5004.0,1.0,1.0,1
47.5,19.8,184.3,3713.0,0.0,1.0,0
45.6,15.9,215.5,4339.0,2.0,1.0,1
59.3,18.2,203.8,2981.0,2.0,,1
39.8,21.2,176.6,4323.0,0.0,0.0,0
55.3,16.8,221.8,5172.0,2.0,0.0,1
57.0,14.9,226.3,2717.0,2.0,1.0,1
37.9,16.4,221.9,2863.0,2.0,0.0,0
44.9,16.3,217.8,6234.0,0.0,0.0,1
44.2,18.8,214.2,5082.0,0.0,0.0,1
47.9,13.1,189.8,3825.0,1.0,0.0,1
53.4,21.8,206.2,3969.0,2.0,1.0,1
36.6,,177.7,5036.0,1.0,1.0,0
39.8,17.9,195.4,3234.0,2.0,,0
47.8,17.4,197.0,5897.0,1.0,0.0,1
32.2,14.5,189.8,4453.0,2.0,0.0,0
37.0,20.5,228.2,3723.0,2.0,1.0,1
59.4,15.6,205.6,3515.0,2.0,1.0,1
53.3,15.6,206.4,5770.0,2.0,0.0,1
55.4,19.7,233.4,4339.0,1.0,0.0,1
37.9,19.0,200.1,5404.0,1.0,1.0,0
44.9,18.5,196.5,4226.0,2.0,1.0,0
40.5,17.4,183.6,4925.0,1.0,1.0,0
52.2,16.2,191.1,4475.0,1.0,1.0,1
44.6,13.1,231.4,5820.0,0.0,1.0,1
53.7,19.9,198.8,5712.0,0.0,1.0,1
42.9,13.5,219.8,5811.0,1.0,0.0,1
60.0,18.1,174.9,5068.0,0.0,0.0,0
40.4,16.4,200.1,4594.0,1.0,1.0,0
42.4,14.9,191.0,5385.0,2.0,0.0,0
36.4,13.9,229.5,5627.0,2.0,1.0,1
48.6,21.1,197.5,5544.0,2.0,1.0,0
36.6,20.0,204.9,5332.0,2.0,1.0,0
36.1,20.2,175.1,,0.0,1.0,0
33.0,15.7,172.4,5733.0,1.0,0.0,0
46.0,14.0,213.5,5978.0,1.0,0.0,1
57.4,14.8,223.7,5310.0,2.0,0.0,1
48.3,13.0,172.9,4228.0,2.0,0.0,0
32.2,21.0,197.5,4990.0,2.0,0.0,0
39.7,13.2,180.6,5090.0,0.0,0.0,0
33.4,15.0,178.4,5818.0,2.0,1.0,1
53.6,20.8,222.7,5270.0,1.0,1.0,1
43.6,17.9,214.2,3993.0,0.0,0.0,0
,18.6,210.5,5709.0,2.0,0.0,1
57.3,13.8,216.7,4309.0,0.0,0.0,1
39.1,21.2,227.9,5944.0,1.0,1.0,1
38.9,19.5,233.6,5279.0,0.0,0.0,1
57.2,18.2,178.0,3633.0,2.0,0.0,1
53.9,14.3,222.0,3371.0,1.0,1.0,1
45.2,15.7,229.2,5073.0,2.0,,1
46.6,16.9,209.8,3218.0,1.0,1.0,0
47.0,15.1,207.1,6009.0,1.0,0.0,1
42.0,17.4,196.3,5194.0,0.0,0.0,0
53.3,14.8,230.8,5139.0,2.0,0.0,1
50.4,13.2,181.5,2952.0,1.0,0.0,0
49.2,16.4,198.0,5017.0,1.0,1.0,1
50.4,16.2,206.7,3723.0,2.0,0.0,1
53.2,15.5,216.1,4944.0,2.0,1.0,1
38.0,18.6,231.0,3859.0,1.0,0.0,0
56.8,18.7,228.5,5678.0,0.0,0.0,1
54.1,19.3,221.0,6148.0,1.0,1.0,1
46.9,20.9,172.0,2903.0,2.0,0.0,0
48.5,13.7,173.4,5686.0,1.0,0.0,1
39.9,16.4,199.2,4907.0,1.0,1.0,1
39.1,21.4,190.0,6067.0,1.0,0.0,0
44.9,18.3,201.9,6228.0,2.0,0.0,1
49.5,20.9,183.0,4233.0,2.0,0.0,0
34.8,15.6,228.1,6158.0,2.0,1.0,1
42.2,19.9,224.4,4422.0,0.0,0.0,0
57.0,14.4,185.6,6197.0,0.0,0.0,1
55.5,16.1,218.8,3294.0,2.0,1.0,1
38.4,20.0,207.1,4565.0,1.0,1.0,0
46.4,17.8,218.1,6059.0,0.0,0.0,0
50.5,16.9,185.7,6191.0,1.0,0.0,0
38.5,15.7,209.6,2817.0,,1.0,0
