session_duration_min,pages_viewed,cart_value,prev_purchases,discount_percent,device_type,day_of_week,bounce_rate,loyalty_score,made_purchase
67.0,36.0,2632.33,8.0,42.8,2.0,6.0,0.691,76.0,1
87.0,45.0,655.8,5.0,8.6,0.0,6.0,0.424,69.0,0
115.0,42.0,3419.47,1.0,7.1,,4.0,0.09,84.0,1
90.0,23.0,3593.45,1.0,35.4,0.0,6.0,0.322,27.0,0
67.0,42.0,1454.89,18.0,13.3,1.0,2.0,0.691,3.0,0
-10.0,8.0,3094.87,15.0,21.6,2.0,0.0,0.014,93.0,1
12.0,29.0,3979.84,5.0,23.4,2.0,3.0,0.477,80.0,0
24.0,35.0,346.74,18.0,1.4,0.0,6.0,,48.0,0
112.0,25.0,403.44,2.0,21.1,0.0,1.0,0.428,,0
80.0,27.0,3476.29,8.0,0.3,1.0,4.0,0.36,89.0,0
71.0,45.0,-200.0,12.0,7.1,0.0,5.0,0.796,47.0,1
115.0,22.0,2003.3,16.0,34.2,2.0,1.0,0.264,28.0,1
58.0,,3629.57,14.0,27.2,2.0,5.0,0.815,89.0,1
69.0,17.0,4281.23,19.0,35.1,2.0,0.0,0.05,61.0,1
96.0,24.0,1334.11,18.0,38.4,,6.0,0.804,88.0,1
51.0,44.0,2317.34,8.0,150.0,2.0,,0.145,53.0,0
66.0,14.0,2441.11,17.0,22.8,1.0,5.0,0.102,85.0,1
29.0,26.0,1187.48,3.0,40.7,0.0,2.0,0.847,49.0,0
23.0,30.0,3651.13,4.0,9.2,2.0,2.0,0.071,90.0,0
63.0,15.0,1876.71,2.0,6.4,2.0,3.0,0.835,55.0,0
3.0,20.0,4811.69,7.0,15.3,0.0,5.0,5.0,67.0,0
25.0,32.0,3546.62,11.0,37.5,1.0,3.0,0.867,35.0,0
39.0,1.0,2767.91,10.0,8.2,2.0,4.0,0.288,,0
32.0,2.0,3130.74,14.0,27.0,2.0,2.0,0.804,30.0,0
114.0,7.0,373.49,7.0,41.6,1.0,1.0,0.58,62.0,1
11.0,33.0,610.49,12.0,3.0,1.0,1.0,0.027,200.0,1
34.0,12.0,368.94,16.0,1.0,0.0,4.0,0.013,11.0,0
