radius_mean,texture_mean,perimeter_mean,area_mean,smoothness_mean,compactness_mean,concavity_mean,symmetry_mean,malignant
-5.0,29.1,144.69,1663.83,0.1323,0.2306,0.3941,0.2893,1
28.82,14.34,52.81,99999.0,0.1061,0.1716,0.4086,0.2793,1
23.57,36.04,78.77,1253.71,2.0,0.3383,0.0019,0.1471,1
20.37,28.01,163.79,1831.47,0.1602,0.0923,0.1363,-1.0,0
9.74,13.87,124.59,2208.08,0.1676,0.214,0.3601,0.2963,0
9.74,38.83,188.48,782.44,0.1017,0.2511,0.2307,0.1473,1
7.39,25.07,108.6,947.3,0.1236,0.2924,0.3472,0.2907,1
26.79,11.26,,2336.54,0.104,0.1543,0.3669,0.23,1
20.43,28.43,,1505.29,0.0886,0.2467,0.1903,0.11,1
22.99,16.85,,562.35,0.0593,0.1201,0.1544,0.1671,0
6.49,33.91,193.57,1706.32,0.1047,0.1637,0.1958,0.1952,0
29.28,34.35,92.66,2478.2,0.1482,0.3156,0.2807,0.2666,1
25.98,39.35,181.75,2083.35,0.052,0.3335,0.1579,0.1657,1
11.1,24.56,175.62,1899.95,0.1199,0.2572,0.3332,0.1621,1
10.36,23.1,73.71,630.99,0.1557,0.1435,0.3887,,0
10.4,32.36,139.89,2207.69,0.0761,0.2906,,0.1158,0
13.3,13.11,51.63,1380.86,0.072,,0.4149,0.2103,0
18.59,25.95,173.87,2238.72,0.1427,0.0539,0.2678,0.2008,1
16.37,25.93,67.93,918.39,0.0806,0.2383,0.3776,0.1115,0
12.99,11.77,51.33,286.44,0.073,0.1161,,,0
20.68,21.96,104.04,1263.3,0.0954,0.334,0.1081,0.1764,1
9.35,35.45,132.31,776.82,0.0971,0.1639,0.138,0.1268,1
13.01,35.54,176.79,1827.94,0.1549,0.1617,0.1302,0.1956,1
14.79,,195.88,2398.77,0.1242,0.2438,0.0739,0.2218,1
16.95,11.81,110.32,1770.7,0.0987,0.2733,0.3733,0.2383,0
24.84,17.14,49.67,2233.16,0.1141,0.1769,0.18,0.2093,0
10.79,36.12,159.86,,0.1645,0.0906,0.4141,0.1759,1
18.34,13.0,130.43,1961.07,0.0636,0.2752,0.2509,0.126,0
20.22,31.32,111.66,2129.58,0.0749,0.1257,0.0595,0.1495,1
7.11,12.14,89.48,1817.67,0.1655,0.0778,0.2347,0.1839,0
20.58,28.32,120.38,1338.35,0.1649,0.2284,0.4272,0.2848,1
10.09,20.04,94.19,1617.04,0.0713,0.0498,0.243,0.1405,0
7.56,33.46,161.12,1793.2,0.0674,0.3405,0.0008,0.1827,0
28.77,16.24,127.02,737.28,0.1005,0.2287,0.4012,0.2465,1
