word_freq_free,word_freq_money,word_freq_click,char_freq_exclaim,char_freq_dollar,capital_run_avg,capital_run_long,num_links,sender_reputation,is_spam
-2.0,3.78,0.8,0.268,0.283,47.7,35.0,4.0,2.6,1
1.98,1.92,2.01,0.786,0.236,500.0,38.0,7.0,9.5,0
0.21,3.4,2.56,0.41,0.224,1.28,5.0,10.0,15.0,1
4.63,3.56,2.04,0.32,0.267,29.54,11.0,-5.0,6.4,1
3.91,1.44,2.06,0.944,0.066,8.41,14.0,3.0,7.6,0
4.29,2.02,2.45,0.635,0.133,58.54,3.0,1.0,3.7,1
0.12,2.28,2.11,0.71,0.01,56.6,52.0,7.0,8.3,0
4.37,,,0.867,0.459,53.9_err,24.0,10.0,9.2,1
2.34,1.84,2.97,0.306,0.447,52.61,33.0,4.0,7.6,1
4.55,2.03,1.63,0.552,0.31,54.26,27.0,5.0,1.2,1
3.46,0.3,2.0,0.412,0.202,43.08,25.0,14.0,0.5,1
2.13,0.22,1.85,0.287,0.294,3.59,20.0,3.0,3.0,0
0.62,2.96,0.85,0.01,0.219,54.27,36.0,1.0,7.7,0
2.79,1.93,2.5,0.139,0.432,10.06,11.0,3.0,8.6,0
3.54,0.36,1.16,0.811,0.288,15.13,50.0,5.0,4.1,0
4.52,0.96,2.86,0.138,0.39,50.5,53.0,13.0,1.2,1
4.43,2.71,2.48,0.906,0.071,37.93,40.0,14.0,7.5,1
1.29,2.02,0.47,0.272,0.463,24.98,13.0,8.0,8.4,0
0.38,3.18,0.18,0.463,0.057,49.12,17.0,10.0,,0
2.35,1.57,0.42,0.866,0.376,21.4,51.0,1.0,4.2,1
1.38,0.46,2.34,0.347,0.216,25.44,48.0,13.0,6.4,0
1.59,1.07,2.19,0.23,0.336,1.93,39.0,5.0,7.5,0
3.34,0.44,1.81,0.031,0.443,45.54,6.0,11.0,9.5,0
3.73,1.92,0.54,0.951,0.249,11.42,57.0,9.0,2.0,1
3.67,1.9,1.35,0.405,0.467,11.67,10.0,4.0,9.1,0
4.09,0.3,1.61,0.89,0.12,,46.0,12.0,8.5,1
0.22,0.77,2.91,0.436,0.443,37.87,25.0,2.0,5.0,0
4.83,3.88,0.66,0.882,0.208,18.28,5.0,4.0,5.9,1
1.69,3.93,1.05,0.104,0.243,16.01,7.0,6.0,7.0,0
1.84,1.37,1.93,0.441,0.215,20.17,47.0,5.0,9.0,0
3.16,0.58,0.63,0.443,0.09,34.46,19.0,13.0,5.6,0
1.13,0.75,0.54,0.974,0.343,57.17,4.0,1.0,2.2,0
3.39,0.33,,0.493,0.269,54.26,10.0,9.0,4.3,0
1.31,0.34,1.56,0.105,0.404,2.62,44.0,5.0,3.3,0
3.51,0.77,2.06,0.908,0.458,18.95,48.0,1.0,9.5,0
4.09,1.88,2.28,0.95,0.126,24.05,18.0,0.0,1.0,0
4.5,2.85,2.61,0.408,0.361,1.33,47.0,2.0,4.7,1
2.04,0.63,1.02,0.797,0.135,56.17,25.0,8.0,9.9,0
4.04,1.67,1.51,0.07,0.35,29.82,30.0,9.0,5.0,1
2.33,0.34,2.59,0.406,0.164,35.22,28.0,8.0,,1
1.23,2.49,1.39,0.511,0.412,11.37,54.0,2.0,,0
3.66,1.72,0.41,0.871,0.401,20.49,25.0,12.0,2.3,1
1.47,3.2,1.31,0.101,0.1,44.41,30.0,0.0,8.5,0
0.85,3.53,2.31,0.407,0.462,1.54,3.0,,4.8,1
0.61,0.97,1.41,0.513,0.217,9.83,9.0,14.0,4.1,0
1.99,1.6,0.74,0.666,0.235,3.47,51.0,10.0,4.2,1
3.73,1.99,2.82,0.103,0.131,27.2,41.0,13.0,6.8,1
4.07,3.99,0.91,0.281,0.175,11.44,12.0,9.0,6.6,0
4.17,3.66,1.56,0.045,0.239,29.99,8.0,5.0,5.1,0
2.14,3.88,1.06,0.148,0.08,43.44,6.0,7.0,6.0,0
0.19,1.86,1.25,0.495,0.289,17.52,7.0,5.0,8.7,0
0.89,4.0,1.93,0.235,0.282,23.35,7.0,6.0,8.1,0
0.98,0.13,1.44,0.479,0.256,5.88,38.0,10.0,5.2,0
2.52,3.87,0.31,0.789,0.151,42.7,58.0,4.0,9.3,0
4.58,0.77,1.53,0.379,0.026,27.29,9.0,0.0,4.6,0
0.65,3.92,0.89,0.723,0.423,32.66,57.0,7.0,3.1,1
0.17,1.82,1.89,0.767,0.227,18.71,1.0,2.0,1.6,0
0.0,2.32,0.54,0.538,0.354,23.98,20.0,5.0,2.2,0
4.5,3.63,1.75,0.274,0.038,10.12,16.0,11.0,6.8,0
4.11,3.94,1.35,0.798,0.074,3.09,50.0,8.0,5.8,1
4.81,0.69,2.42,0.378,0.386,37.91,26.0,5.0,1.3,0
3.5,2.44,1.02,0.59,0.336,4.24,45.0,0.0,4.8,1
3.05,2.77,0.3,0.493,0.351,32.65,12.0,0.0,1.5,0
0.62,2.83,0.26,0.626,,3.99,20.0,13.0,4.0,0
2.88,0.84,1.35,0.852,0.191,44.88,48.0,7.0,2.4,1
3.95,0.28,1.55,0.355,0.157,4.39,54.0,8.0,4.9,0
4.35,1.5,1.13,0.916,0.4,57.14,30.0,12.0,8.6,1
4.35,3.25,2.36,0.109,0.195,27.92,23.0,9.0,3.0,1
1.52,3.88,2.0,0.261,0.004,16.78,37.0,0.0,9.7,0
0.95,1.78,1.7,0.92,0.203,10.49,30.0,11.0,5.0,0
0.74,3.66,,0.064,0.142,30.1,15.0,7.0,1.7,0
3.22,2.89,2.29,0.463,0.382,35.91,58.0,7.0,6.7,1
0.35,0.47,1.82,0.26,0.339,3.93,25.0,13.0,8.7,0
4.35,1.38,0.67,0.788,0.349,56.03,47.0,11.0,4.8,1
4.04,2.98,1.22,0.087,0.428,24.13,57.0,7.0,8.9,1
0.03,1.79,0.41,0.127,0.478,47.51,36.0,11.0,7.7,0
2.94,2.62,2.61,0.158,0.491,22.12,28.0,12.0,1.1,1
3.17,3.04,0.66,0.316,0.491,25.33,17.0,10.0,8.5,0
4.53,3.92,1.8,0.858,0.437,4.53,49.0,0.0,1.1,1
2.67,3.67,0.16,0.875,0.295,23.03,14.0,,3.9,0
0.26,1.38,0.95,0.201,0.124,16.68,49.0,9.0,9.3,0
