study_hours_per_day,attendance_percent,previous_score,sleep_hours,assignments_done,has_tuition,parent_education,motivation_score,internet_hours,passed
8.9,150.0,85.9,9.8,2.0,0.0,0.0,2.1,3.4,1
1.1,52.1,28.8,-3.0,13.0,1.0,0.0,3.6,4.2,0
0.3,71.6,45.2,8.8,19.0,0.0,2.0,15.0,5.6,0
-5.0,67.2,73.6,6.1,6.0,1.0,0.0,4.9,1.4,1
2.0,96.5,90.1,7.3,4.0,0.0,1.0,4.1,0.1,1
3.0,94.2,26.8,7.1,0.0,1.0,1.0,2.2,6.7,0
0.3,39.0,71.8,5.3,6.0,1.0,2.0,7.9,7.2,0
5.6,41.0,69.6,9.9,4.0,1.0,1.0,9.5,7.8,0
9.3,49.1,39.9,8.8,16.0,0.0,0.0,1.9,4.1,1
8.8,77.6,85.9,6.3,17.0,1.0,1.0,8.9,3.0,1
3.6,48.4,51.6,7.1,11.0,0.0,0.0,5.1,4.0,0
6.6,73.0,38.7,6.8,19.0,0.0,1.0,5.1,1.8,1
8.2,70.4,59.0,9.1,19.0,0.0,1.0,,5.7,1
1.5,65.6,36.9,4.3,9.0,1.0,1.0,2.3,5.0,0
6.2,34.4,70.7,9.8,4.0,1.0,1.0,1.5,4.5,0
6.4,65.6,35.0,9.4,12.0,1.0,2.0,6.7,4.9,1
4.7,69.0,84.0,5.2,1.0,0.0,2.0,4.6,4.0,1
3.9,76.4,73.4,7.1,16.0,0.0,2.0,6.3,2.6,1
5.4,92.2,94.6,7.9,1.0,1.0,2.0,2.7,2.2,1
0.0,95.0,28.3,5.6,18.0,0.0,1.0,7.0,1.2,0
,54.7,33.4,8.2,9.0,1.0,1.0,7.4,7.8,0
7.4,62.9,42.3,4.2,14.0,0.0,2.0,5.5,7.9,0
3.8,76.3,42.1,5.6,0.0,1.0,,1.2,5.8,0
2.8,84.9,61.6,4.5,3.0,0.0,0.0,3.3,1.7,0
6.3,81.5,89.6,9.2,14.0,0.0,1.0,8.4,2.0,1
8.7,37.8,25.5,6.4,,1.0,0.0,4.5,0.9,0
3.1,65.1,93.4,9.7,1.0,0.0,0.0,5.8,1.9,0
0.2,35.8,29.7,6.4,13.0,0.0,0.0,4.9,4.1,0
1.3,100.0,40.2,6.9,5.0,1.0,0.0,1.1,6.2,0
4.3,30.1,47.8,4.8,9.0,0.0,1.0,8.7,6.1,0
6.1,87.0,58.8,9.7,7.0,1.0,1.0,3.7,1.6,1
0.4,37.3,89.7,7.3,7.0,1.0,2.0,2.6,6.0,0
4.8,58.0,61.0,4.6,16.0,0.0,2.0,3.5,0.8,0
2.1,40.9,94.5,7.4,8.0,1.0,1.0,9.8,,1
8.1,43.9,92.6,5.0,17.0,1.0,2.0,1.6,1.9,1
5.4,98.1,76.4,6.4,4.0,1.0,1.0,6.7,2.4,1
4.6,,38.5,6.6,12.0,0.0,1.0,4.3,4.1,0
5.9,79.5,25.9,8.9,,1.0,2.0,3.7,5.8,0
1.4,73.1,63.4,9.1,14.0,1.0,2.0,5.1,5.3,0
,65.4,25.5,4.5,18.0,0.0,1.0,1.4,5.3,0
,40.8,36.2,8.2,7.0,0.0,0.0,8.2,7.0,0
4.1,85.1,61.8,9.5,17.0,1.0,1.0,6.0,6.1,1
8.4,83.9,80.5,6.8,2.0,0.0,0.0,8.2,1.0,1
1.2,36.4,67.5,9.3,9.0,1.0,0.0,6.4,6.3,0
4.5,84.9,92.5,5.3,16.0,0.0,2.0,8.8,6.3,1
9.8,96.4,66.4,5.1,8.0,0.0,2.0,6.9,0.1,1
8.7,51.0,24.7,6.6,3.0,0.0,1.0,,2.5,0
9.9,55.4,27.1,9.6,15.0,1.0,1.0,6.3,1.5,1
9.6,87.9,64.7,4.2,3.0,1.0,0.0,5.6,2.9,1
4.9,88.1,46.9,8.1,10.0,1.0,2.0,8.7,3.0,1
8.7,83.7,56.3,6.7,7.0,1.0,0.0,8.1,2.4,1
6.8,76.8,37.9,4.0,14.0,1.0,0.0,7.8,6.9,1
1.1,64.1,57.5,6.7,16.0,1.0,1.0,3.3,7.7,0
7.1,91.3,88.4,4.6,12.0,0.0,1.0,3.9,2.0,1
6.5,86.5,77.5,9.8,1.0,1.0,0.0,2.0,6.3,1
0.2,47.0,21.7,9.4,1.0,0.0,2.0,3.2,7.6,0
4.9,48.9,53.0,5.1,6.0,1.0,1.0,8.4,0.1,1
3.2,50.6,53.6,8.3,3.0,,,3.4,6.4,0
6.0,90.4,72.3,7.6,1.0,0.0,0.0,7.5,3.3,1
1.3,52.0,77.4,6.1,0.0,,,5.3,5.8,0
2.6,54.5,25.3,8.3,5.0,0.0,2.0,2.2,7.5,0
2.4,88.9,25.0,9.6,7.0,0.0,1.0,5.5,7.6,0
3.3,85.4,45.9,4.3,17.0,1.0,0.0,2.1,5.9,0
4.7,65.0,73.8,7.9,,0.0,,4.4,0.6,0
6.6,69.0,35.2,7.9,10.0,0.0,0.0,7.7,2.4,1
2.9,49.1,68.0,8.1,11.0,0.0,2.0,3.2,3.3,0
,67.7,30.3,6.4,0.0,1.0,1.0,4.4,,0
7.6,47.4,41.0,7.9,10.0,1.0,1.0,9.0,3.3,1
1.5,70.2,93.0,4.3,12.0,0.0,1.0,4.0,1.6,0
9.0,77.7,22.0,4.4,16.0,1.0,1.0,8.5,7.5,1
6.5,73.1,59.9,7.6,2.0,0.0,2.0,7.1,5.0,0
5.3,48.6,27.3,8.7,9.0,0.0,0.0,2.1,6.6,0
2.6,91.7,82.6,5.3,3.0,1.0,2.0,2.4,0.2,0
6.7,,45.8,7.3,7.0,0.0,0.0,6.6,5.3,1
3.2,67.3,94.6,4.1,,0.0,0.0,1.6,3.4,1
,83.9,93.0,4.2,3.0,0.0,0.0,4.8,3.5,1
5.8,64.1,86.2,5.1,16.0,1.0,2.0,6.2,2.6,1
5.5,34.5,52.2,8.2,0.0,1.0,0.0,3.2,6.5,0
5.2,78.6,27.6,5.8,19.0,0.0,1.0,4.5,4.2,1
8.7,72.9,69.9,9.5,19.0,0.0,0.0,1.5,2.3,1
2.7,77.2,45.8,8.3,16.0,1.0,1.0,9.0,1.4,1
8.2,55.2,27.2,6.8,6.0,0.0,0.0,7.9,7.9,0
1.4,98.3,36.7,6.3,5.0,1.0,2.0,7.0,6.7,0
1.1,42.9,24.9,7.7,10.0,0.0,0.0,2.6,2.0,0
4.4,35.1,72.1,4.7,7.0,0.0,2.0,1.6,4.5,0
8.6,33.5,86.0,7.6,11.0,1.0,2.0,4.8,7.6,1
1.5,48.3,35.3,4.6,4.0,0.0,0.0,9.6,6.8,0
9.1,91.2,75.9,5.2,11.0,1.0,2.0,2.4,6.0,1
2.0,86.2,66.7,4.9,7.0,0.0,0.0,6.1,7.3,0
5.5,98.9,85.4,5.4,15.0,0.0,0.0,3.6,7.9,1
0.9,54.1,74.3,9.3,4.0,1.0,2.0,3.8,7.8,0
10.0,,27.9,4.7,13.0,0.0,1.0,3.1,3.0,0
9.8,93.1,89.1,6.1,6.0,0.0,0.0,8.0,5.2,1
2.9,57.1,70.6,5.2,9.0,0.0,0.0,1.6,0.3,0
4.0,30.3,,5.4,3.0,1.0,1.0,6.2,6.3,1
