fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,ph,alcohol,high_quality
11.7,0.29,0.67,7.4,0.055,14.3,148.6,1.001,9.0,8.1,0
12.5,0.11,0.91,10.8,0.164,29.6,74.8,0.9998,3.46,-5.0,1
11.2,-0.5,0.45,,0.173,10.3,267.9,0.993,2.94,11.5,1
5.9,0.29,0.06,1.8,0.139,13.5,,5.0,3.05,10.0,0
15.2,1.08,0.2,6.1,0.193,33.3,16.9,1.0039,3.12,14.5,1
9.1,1.12,0.66,3.6,0.077,47.9,160.8,0.9922,3.01,9.5,1
15.9,0.82,0.08,2.1,0.119,47.3,42.5,0.9915,3.09,11.8,0
15.8,0.45,0.12,15.0,0.198,24.3,219.3,1.0035,3.24,12.5,1
6.6,0.3,0.22,15.0,0.18,52.1,88.3,1.0015,3.94,13.1,1
15.0,0.58,0.85,7.4,0.176,60.5,172.8,1.0009,3.98,11.3,1
8.9,0.26,0.87,4.9,0.112,39.5,71.1,1.0039,3.07,9.6,0
9.6,1.52,0.62,8.5,0.121,59.7,250.8,0.9942,3.52,13.4,1
15.3,0.86,0.05,15.0,0.015,54.8,241.3,0.9982,3.21,13.4,1
8.5,0.48,0.2,6.5,0.157,6.1,178.1,,3.08,9.3,0
10.2,0.86,0.1,,0.019,62.3,27.2,1.0017,3.63,9.2,0
6.0,0.15,0.03,10.6,0.013,46.9,228.5,0.996,2.93,10.8,1
11.9,0.14,0.43,12.6,0.07,2.4,17.5,0.9977,3.18,12.7,0
11.7,,0.45,4.9,0.146,54.8,248.7,0.9921,3.96,11.2,1
7.4,0.16,0.81,7.3,0.113,26.3,252.0,0.9995,3.8,8.2,0
11.9,1.15,0.68,5.3,0.035,58.3,11.0,1.0018,3.91,10.2,0
15.2,0.39,0.27,9.0,0.023,25.1,54.4,0.9969,3.48,14.4,1
12.3,0.55,0.36,8.5,,18.3,250.0,1.0033,3.13,9.1,0
