age,years_at_company,performance_score,training_hours,awards_won,avg_review_score,num_reports,dept_kpi_score,prev_promoted,promoted
-5.0,14.0,91.6,55.0,1.0,66.9,1.0,8.7,0.0,0
22.0,15.0,150.0,53.0,1.0,50.1,8.0,2.1,1.0,1
43.0,13.0,53.1,-10.0,2.0,72.8,2.0,6.9,0.0,0
50.0,21.0,65.5,14.0,4.0,,0.0,6.8,1.0,1
43.0,-3.0,58.5,75.0,4.0,78.9,1.0,8.6,1.0,1
30.0,23.0,59.6,52.0,2.0,64.9,9.0,6.0,0.0,0
55.0,23.0,64.0,55.0,2.0,49.8,6.0,6.5,0.0,0
40.0,17.0,70.6,55.0,1.0,85.0,6.0,5.0,1.0,1
34.0,12.0,91.1,64.0,2.0,64.8,6.0,8.4,0.0,1
39.0,11.0,74.5,89.0,4.0,55.3,4.0,9.5,0.0,0
47.0,7.0,62.2,77.0,0.0,60.3,4.0,7.0,0.0,0
58.0,16.0,64.1,72.0,0.0,53.2,0.0,7.1,0.0,0
46.0,9.0,,37.0,3.0,94.2,6.0,1.8,0.0,1
59.0,2.0,70.9,54.0,2.0,83.9,6.0,1.3,1.0,0
36.0,2.0,,51.0,2.0,40.0,1.0,1.6,0.0,0
27.0,13.0,94.8,7.0,4.0,63.3,6.0,5.7,0.0,1
28.0,5.0,53.1,37.0,4.0,,9.0,4.3,0.0,1
32.0,12.0,73.5,27.0,,63.3,4.0,,,0
47.0,24.0,65.3,31.0,3.0,41.0,1.0,2.7,1.0,0
48.0,13.0,75.9,53.0,0.0,66.4,8.0,5.2,0.0,0
47.0,2.0,52.0,96.0,2.0,79.7,6.0,7.7,0.0,0
29.0,12.0,99.1,,0.0,60.2,3.0,2.2,1.0,1
27.0,3.0,98.5,64.0,3.0,64.0,7.0,10.0,0.0,1
53.0,22.0,63.1,35.0,3.0,41.3,8.0,6.1,0.0,1
38.0,22.0,79.3,72.0,3.0,66.9,7.0,6.6,1.0,1
24.0,13.0,53.0,93.0,4.0,52.5,0.0,4.2,0.0,0
35.0,,69.6,42.0,1.0,48.6,6.0,3.9,0.0,0
57.0,6.0,86.0,16.0,3.0,40.6,7.0,3.0,1.0,0
30.0,16.0,86.5,12.0,4.0,85.7,6.0,8.0,0.0,1
42.0,24.0,52.1,35.0,0.0,94.5,1.0,4.1,0.0,1
45.0,15.0,99.2,97.0,4.0,74.2,9.0,7.2,0.0,1
40.0,14.0,84.7,65.0,1.0,98.3,3.0,9.5,,1
54.0,23.0,50.5,21.0,3.0,,7.0,3.9,1.0,0
39.0,7.0,70.5,30.0,0.0,86.0,1.0,6.4,1.0,0
45.0,13.0,77.2,3.0,0.0,89.7,6.0,2.2,0.0,0
48.0,4.0,72.8,95.0,1.0,57.4,9.0,4.1,0.0,0
40.0,16.0,93.9,53.0,0.0,48.8,4.0,4.6,0.0,1
27.0,15.0,68.0,78.0,2.0,41.8,6.0,5.9,0.0,1
26.0,13.0,66.7,24.0,3.0,96.9,0.0,4.9,0.0,0
31.0,8.0,61.1,86.0,1.0,69.7,2.0,2.9,0.0,0
56.0,2.0,74.4,47.0,0.0,94.6,1.0,2.4,1.0,1
41.0,,52.5,34.0,4.0,55.7,1.0,5.6,1.0,0
59.0,13.0,70.0,56.0,3.0,63.4,7.0,10.0,0.0,1
43.0,1.0,66.9,68.0,4.0,56.7,5.0,2.4,1.0,0
27.0,24.0,68.9,46.0,3.0,49.3,0.0,9.8,0.0,1
39.0,3.0,93.9,14.0,2.0,74.6,2.0,3.3,0.0,1
42.0,11.0,67.6,33.0,4.0,41.8,7.0,8.0,0.0,1
38.0,9.0,94.5_err,48.0,1.0,81.9,5.0,1.0,0.0,0
55.0,12.0,79.0,41.0,3.0,98.7,5.0,3.5,0.0,1
24.0,5.0,57.2,20.0,4.0,47.6,,1.8,0.0,0
26.0,18.0,88.1,90.0,0.0,63.5,0.0,4.1,0.0,0
59.0,,75.1,75.0,1.0,78.7,9.0,1.2,0.0,0
35.0,14.0,91.7,94.0,2.0,84.0,1.0,7.1,0.0,1
25.0,4.0,53.2,8.0,4.0,46.5,2.0,5.7,1.0,0
23.0,11.0,66.3,85.0,0.0,84.8,9.0,4.5,1.0,0
25.0,11.0,76.6,41.0,1.0,64.2,4.0,9.4,1.0,0
59.0,24.0,94.2,67.0,4.0,48.2,7.0,8.5,0.0,1
53.0,6.0,86.8,24.0,0.0,59.6,4.0,6.9,0.0,0
59.0,15.0,80.2,40.0,2.0,85.3,2.0,4.8,0.0,0
49.0,8.0,65.1,69.0,4.0,75.4,1.0,4.4,0.0,1
56.0,12.0,68.4,44.0,3.0,97.5,2.0,9.0,0.0,1
34.0,4.0,82.6,78.0,3.0,43.4,8.0,6.8,1.0,1
24.0,6.0,97.7,63.0,1.0,90.3,2.0,6.6,0.0,1
40.0,3.0,85.4,93.0,1.0,90.1,,3.9,1.0,0
57.0,23.0,100.0,85.0,1.0,56.1,0.0,3.3,1.0,1
52.0,9.0,81.2,56.0,2.0,97.0,6.0,6.7,0.0,1
47.0,23.0,51.5,42.0,3.0,41.0,8.0,6.0,0.0,0
36.0,15.0,60.4,25.0,0.0,97.3,8.0,9.3,1.0,0
43.0,18.0,75.0,77.0,2.0,72.6,6.0,4.7,0.0,1
35.0,5.0,93.2,39.0,4.0,97.1,2.0,1.3,0.0,1
28.0,17.0,63.0,17.0,1.0,,2.0,8.1,0.0,1
54.0,18.0,61.5,71.0,1.0,100.0,1.0,5.1,0.0,0
31.0,6.0,81.0,40.0,0.0,81.6,3.0,9.8,0.0,0
51.0,9.0,74.7,61.0,1.0,44.8,9.0,5.8,0.0,0
59.0,15.0,58.0,91.0,3.0,96.6,9.0,6.4,0.0,1
52.0,13.0,95.3,54.0,2.0,87.7,4.0,6.3,0.0,1
32.0,7.0,99.0,87.0,0.0,41.5,2.0,2.0,0.0,0
33.0,21.0,55.6,4.0,2.0,40.2,6.0,6.9,0.0,0
50.0,10.0,92.6,25.0,1.0,46.4,2.0,4.7,0.0,0
31.0,15.0,60.4,87.0,3.0,70.6,7.0,9.2,0.0,1
