claim_amount,policy_age_years,prev_claims,injury_severity,days_to_report,num_witnesses,vehicle_age_years,repair_cost,agent_flagged,is_fraud
-5000.0,16.4,0.0,3.0,72.0,3.0,9.0,27571.39,1.0,0
485856.3,5.1,7.0,2.0,-10.0,0.0,7.0,49283.98,1.0,1
242446.13,0.4,6.0,10.0,7.0,2.0,2.0,8152.69,0.0,1
122018.83,-2.0,9.0,2.0,64.0,1.0,0.0,12086.9,0.0,0
266030.79,13.0,9.0,2.0,40.0,,13.0,-1000.0,0.0,0
143486.57,15.3,2.0,1.0,26.0,2.0,18.0,45072.33,0.0,0
431452.56,19.5,3.0,2.0,69.0,4.0,15.0,39270.66,0.0,0
21508.98,8.1,5.0,3.0,12.0,3.0,3.0,,1.0,1
55065.52,3.6,1.0,4.0,44.0,4.0,4.0,21355.36,0.0,0
383812.86,12.8,4.0,4.0,,1.0,3.0,45076.86,0.0,0
26662.93,0.7,7.0,2.0,85.0,1.0,18.0,7858.39,1.0,1
388082.55,8.2,4.0,3.0,0.0,0.0,7.0,8585.97,1.0,1
5560.33,16.8,9.0,1.0,48.0,2.0,0.0,46103.27,0.0,0
309537.74,16.0,2.0,1.0,10.0,1.0,10.0,23379.69,0.0,0
409535.96,11.9,1.0,1.0,66.0,4.0,6.0,30199.59,0.0,0
449394.28,13.1,1.0,3.0,64.0,3.0,3.0,29679.59,0.0,0
492820.18,9.9,8.0,4.0,63.0,0.0,0.0,4555.78,0.0,1
248875.72,8.2,1.0,1.0,37.0,0.0,18.0,,0.0,0
176807.14,0.5,0.0,4.0,37.0,3.0,7.0,39413.18,0.0,0
433675.41,9.6,,4.0,39.0,4.0,11.0,32651.53,0.0,1
199043.99,7.0,7.0,4.0,28.0,1.0,2.0,47502.08,0.0,1
322184.95,1.9,4.0,1.0,40.0,4.0,15.0,28481.75,0.0,1
,1.2,3.0,1.0,1.0,4.0,0.0,44570.65,0.0,0
404234.19,4.1,4.0,3.0,87.0,4.0,19.0,22327.7,0.0,1
215377.04,12.4,2.0,1.0,51.0,3.0,12.0,47632.06,1.0,1
279714.71,5.9,4.0,3.0,23.0,0.0,4.0,34225.83,0.0,1
389776.53,18.1,8.0,1.0,24.0,0.0,9.0,3993.52,0.0,1
201876.0,17.1,5.0,1.0,14.0,3.0,1.0,35207.31,1.0,1
454089.46,11.0,5.0,1.0,50.0,2.0,0.0,27625.22,0.0,1
325334.84,9.3,9.0,4.0,36.0,3.0,19.0,43605.69,1.0,1
