loan_amount,annual_income,credit_score,loan_term_years,employment_years,num_open_loans,debt_to_income,collateral_value,missed_payments,defaulted
-50000.0,3437883.1,521.0,1.0,29.1,2.0,0.298,1495923.51,4.0,0
134426.83,-10000.0,619.0,2.0,10.1,2.0,0.187,2735576.5,0.0,0
1966425.56,3725319.39,1200.0,5.0,28.5,0.0,0.08,566347.29,,0
363552.06,3842612.05,380.0,15.0,-5.0,7.0,0.341,898892.21,,1
1757051.48,3249366.05,468.0,3.0,22.6,1.0,5.0,191221.48,3.0,1
254872.25,2369952.48,594.0,2.0,19.7,1.0,0.374,2304770.2,3.0,0
698302.89,3200134.87,562.0,15.0,2.2,4.0,0.208,2806623.84,5.0,1
1373662.87,3016984.92,697.0,5.0,0.5,3.0,,2443193.07,5.0,1
1892670.43,4277248.79,545.0,1.0,2.3,0.0,0.077,2369054.38,2.0,1
1007621.61,2364926.69,587.0,1.0,26.0,5.0,0.463,1646163.95,3.0,1
361862.6,628310.95,735.0,1.0,17.3,4.0,0.3,1207304.23,2.0,0
956126.75,,320.0,3.0,8.2,3.0,0.567,5057.33,,1
1924048.96,921147.81,532.0,5.0,12.1,1.0,0.421,726395.61,3.0,1
,,368.0,1.0,10.1,1.0,,2451009.71,1.0,0
1002611.87,1939515.15,730.0,5.0,11.9,1.0,0.312,425832.64,4.0,1
201245.88,4933352.54,584.0,15.0,17.0,1.0,0.37,1753510.07,0.0,0
1668756.84,1165485.43,848.0,5.0,0.0,6.0,0.259,1197750.23,3.0,1
1017319.95,4399682.44,372.0,20.0,5.7,0.0,0.091,1909859.02,3.0,1
421489.9,412070.23,637.0,10.0,8.7,,0.292,446587.9,5.0,1
1438913.01,4624584.68,703.0,2.0,17.9,,0.54,96123.26,4.0,0
393756.62,4990861.33,461.0,1.0,7.2,5.0,0.566,2230716.77,4.0,0
1158582.47,,582.0,1.0,1.8,0.0,0.461,1820777.71,0.0,0
1667091.75,4419241.3,766.0,2.0,29.9,6.0,0.171,2556471.79,3.0,0
1684091.48,3661042.22,339.0,,23.4,,0.155,430810.86,3.0,1
777892.78,1182624.33,606.0,15.0,,1.0,0.275,2190324.12,1.0,0
708162.2,4423761.61,515.0,5.0,25.1,2.0,0.44,2458594.9,5.0,0
994284.08,2315897.18,798.0,2.0,24.6,4.0,0.425,2674389.48,,0
220541.51,4622267.78,427.0,10.0,27.1,1.0,0.188,2377689.3,5.0,0
1813473.35,648778.85,304.0,15.0,5.0,6.0,0.58,1879150.99,2.0,1
725442.05,4869833.11,663.0,5.0,23.0,3.0,0.496,1621005.43,1.0,0
479742.52,,559.0,2.0,26.0,3.0,,1602732.35,4.0,0
129084.36,1955522.32,553.0,1.0,17.4,1.0,0.311,693922.23,3.0,0
