tenure_months,monthly_charges,total_charges,num_services,support_calls,contract_type,payment_delays,data_usage_gb,num_complaints,churned
-5.0,59.72,180.85,6.0,13.0,0.0,0.0,42.45,3.0,1
49.0,-20.0,5008.1,3.0,3.0,0.0,6.0,42.69,0.0,0
4.0,119.69,457.95,7.0,-3.0,2.0,6.0,29.82,3.0,1
42.0,32.03,1456.14,7.0,13.0,0.0,2.0,-10.0,3.0,1
54.0,91.21,5174.19,5.0,13.0,0.0,4.0,6.94,-2.0,1
12.0,27.12,304.63,4.0,3.0,1.0,4.0,17.43,1.0,1
32.0,83.06,2745.32,7.0,14.0,0.0,7.0,2.27,1.0,1
51.0,80.18,4067.77,5.0,5.0,0.0,2.0,3.19,4.0,1
47.0,89.68,4522.06,2.0,3.0,2.0,4.0,42.66,3.0,0
24.0,26.11,645.77,5.0,7.0,1.0,5.0,41.5,2.0,0
22.0,42.42,867.99,2.0,2.0,1.0,5.0,28.55,0.0,0
23.0,39.61,826.68,6.0,10.0,2.0,6.0,15.99,0.0,1
65.0,43.16,2899.91,5.0,9.0,1.0,1.0,11.36,1.0,0
25.0,44.58,1049.44,5.0,12.0,,7.0,38.11,1.0,1
70.0,92.2,6478.92,3.0,10.0,2.0,5.0,11.98,1.0,1
14.0,26.13,349.67,7.0,,1.0,5.0,35.95,3.0,0
21.0,43.97,900.24,1.0,0.0,0.0,2.0,29.82,3.0,1
66.0,33.0,2092.2,,13.0,2.0,5.0,33.51,0.0,0
23.0,109.69,2564.53,2.0,4.0,2.0,2.0,43.82,0.0,0
10.0,40.57,442.88,5.0,2.0,,7.0,18.63,0.0,1
46.0,45.39,2104.4,7.0,10.0,2.0,0.0,12.77,4.0,0
70.0,58.73,3719.15,2.0,13.0,2.0,2.0,22.67,0.0,0
56.0,63.12,3451.09,,5.0,0.0,3.0,5.86,,0
47.0,47.61,2070.98,7.0,4.0,1.0,2.0,8.21,3.0,0
9.0,51.22,461.06,1.0,9.0,2.0,6.0,5.72,4.0,1
5.0,81.25,432.04,2.0,13.0,0.0,5.0,49.54,2.0,1
18.0,86.46,1580.08,5.0,5.0,2.0,3.0,32.91,2.0,0
49.0,55.13,2871.72,1.0,0.0,2.0,0.0,36.5,0.0,0
23.0,64.04,1584.99,3.0,2.0,0.0,2.0,24.81,1.0,0
71.0,98.29,6512.17,3.0,,2.0,3.0,37.65,1.0,0
11.0,99.1,1071.12,4.0,12.0,2.0,4.0,46.73,3.0,1
69.0,33.94,2535.82,6.0,,,1.0,29.74,2.0,0
23.0,117.39,2703.05,4.0,1.0,0.0,7.0,33.21,2.0,1
6.0,91.02,551.08,2.0,2.0,2.0,3.0,35.24,3.0,1
9.0,42.86,372.28,2.0,8.0,0.0,6.0,44.91,4.0,1
62.0,75.93,5127.33,2.0,2.0,0.0,4.0,19.83,,0
56.0,98.28,5366.79,6.0,4.0,0.0,3.0,28.66,1.0,0
64.0,97.2,6532.65,1.0,14.0,0.0,3.0,9.98,0.0,1
49.0,105.7,5609.32,6.0,0.0,1.0,0.0,23.1,0.0,0
1.0,37.09,36.47,3.0,8.0,2.0,5.0,28.02,0.0,1
15.0,69.34,1057.53,1.0,1.0,0.0,1.0,22.67,3.0,1
52.0,85.93,4435.95,1.0,1.0,0.0,2.0,7.3,2.0,0
53.0,73.12,3569.41,6.0,12.0,0.0,1.0,35.97,0.0,0
59.0,40.24,2550.09,1.0,9.0,1.0,6.0,3.23,3.0,1
3.0,94.81,264.66,7.0,2.0,2.0,7.0,35.99,0.0,1
29.0,99.88,3040.77,6.0,10.0,1.0,1.0,10.36,0.0,1
